wiki_id,name,party,url,party_abbrev
Q5886152,Gustav Johansson,Vänsterpartiet,http://www.wikidata.org/entity/Q5886152,V
Q5889499,Johan Johnsson,Liberalerna,http://www.wikidata.org/entity/Q5889499,L
Q5891513,Einar Jonsson,Socialdemokraterna,http://www.wikidata.org/entity/Q5891513,S
Q5892004,Sigfrid Jonsson,Socialdemokraterna,http://www.wikidata.org/entity/Q5892004,S
Q5901138,Arvid Karlsson,Moderaterna,http://www.wikidata.org/entity/Q5901138,M
Q5901692,Karl Johan Karlsson,Vänsterpartiet,http://www.wikidata.org/entity/Q5901692,V
Q5902333,Verner Karlsson i Vätö,Socialdemokraterna,http://www.wikidata.org/entity/Q5902333,S
Q5904764,Augustinus Keijer,Liberalerna,http://www.wikidata.org/entity/Q5904764,L
Q5917908,Gustaf Kollberg,Liberalerna,http://www.wikidata.org/entity/Q5917908,L
Q5929112,Ture Königson,Liberalerna,http://www.wikidata.org/entity/Q5929112,L
Q5933698,Axel Landgren,Socialdemokraterna,http://www.wikidata.org/entity/Q5933698,S
Q5937351,Erik Larsson (socialdemokrat),Socialdemokraterna,http://www.wikidata.org/entity/Q5937351,S
Q5950810,Gösta Liedberg,Moderaterna,http://www.wikidata.org/entity/Q5950810,M
Q5826490,Edvin Jacobsson,Liberalerna,http://www.wikidata.org/entity/Q5826490,L
Q5937501,Gustaf Larsson (politiker),Socialdemokraterna,http://www.wikidata.org/entity/Q5937501,S
Q5938180,Martin Larsson,Liberalerna,http://www.wikidata.org/entity/Q5938180,L
Q5973769,Emil Malmborg,Socialdemokraterna,http://www.wikidata.org/entity/Q5973769,S
Q6005925,Gösta Netzén,Socialdemokraterna,http://www.wikidata.org/entity/Q6005925,S
Q6009324,Hjalmar Nilson,Centerpartiet,http://www.wikidata.org/entity/Q6009324,C
Q6009684,Andreas Nilsson i Norrlångträsk,Liberalerna,http://www.wikidata.org/entity/Q6009684,L
Q6010354,Gustaf Nilsson i Vibberbo,Centerpartiet,http://www.wikidata.org/entity/Q6010354,C
Q6010361,Gustaf Nilson,Moderaterna,http://www.wikidata.org/entity/Q6010361,M
Q6011367,Nils Nilsson i Karlstad,Moderaterna,http://www.wikidata.org/entity/Q6011367,M
Q6016502,Erik Norén,Socialdemokraterna,http://www.wikidata.org/entity/Q6016502,S
Q6022503,Nils Odhe,Socialdemokraterna,http://www.wikidata.org/entity/Q6022503,S
Q6023757,Sigvard Ohlsson,Socialdemokraterna,http://www.wikidata.org/entity/Q6023757,S
Q6027578,Nils Olsson i Rödningsberg,Socialdemokraterna,http://www.wikidata.org/entity/Q6027578,S
Q6028693,Johannes Onsjö,Centerpartiet,http://www.wikidata.org/entity/Q6028693,C
Q156797,Knut Agathon Wallenberg,Moderaterna,http://www.wikidata.org/entity/Q156797,M
Q19976333,Pontus Andersson,Sverigedemokraterna,http://www.wikidata.org/entity/Q19976333,SD
Q16595341,Nina Jarlbäck,Socialdemokraterna,http://www.wikidata.org/entity/Q16595341,S
Q17080318,Lars Adaktusson,Kristdemokraterna,http://www.wikidata.org/entity/Q17080318,KD
Q18237118,Jeff Ahl,Sverigedemokraterna,http://www.wikidata.org/entity/Q18237118,SD
Q5707689,Ivar Ekströmer,Moderaterna,http://www.wikidata.org/entity/Q5707689,M
Q5710001,Bengt Elmgren,Socialdemokraterna,http://www.wikidata.org/entity/Q5710001,S
Q5714661,Eric Ericson,Socialdemokraterna,http://www.wikidata.org/entity/Q5714661,S
Q5715103,Eric Ericsson,Moderaterna,http://www.wikidata.org/entity/Q5715103,M
Q5716008,Anders Eriksson i Undrom,Socialdemokraterna,http://www.wikidata.org/entity/Q5716008,S
Q5719171,Carl Eskilsson,Moderaterna,http://www.wikidata.org/entity/Q5719171,M
Q5746220,Edvard Fränckel,Moderaterna,http://www.wikidata.org/entity/Q5746220,M
Q5767860,Per Granath,Socialdemokraterna,http://www.wikidata.org/entity/Q5767860,S
Q5780280,Anders Göransson,Moderaterna,http://www.wikidata.org/entity/Q5780280,M
Q5784902,Eric Hallin,Moderaterna,http://www.wikidata.org/entity/Q5784902,M
Q5795345,Staffan Hedblom,Liberalerna,http://www.wikidata.org/entity/Q5795345,L
Q5795618,Axel Hedenlund,Moderaterna,http://www.wikidata.org/entity/Q5795618,M
Q5913021,Ernst Klefbeck,Socialdemokraterna,http://www.wikidata.org/entity/Q5913021,S
Q5937709,Jacob Larsson,Socialdemokraterna,http://www.wikidata.org/entity/Q5937709,S
Q5937937,Knut Larsson,Moderaterna,http://www.wikidata.org/entity/Q5937937,M
Q5938659,Sam Larsson,Folkpartiet,http://www.wikidata.org/entity/Q5938659,L
Q5938681,Sigfrid Larsson i Svalöv,Centerpartiet,http://www.wikidata.org/entity/Q5938681,C
Q5946756,Henning Leo,Socialdemokraterna,http://www.wikidata.org/entity/Q5946756,S
Q5952272,August Lillienau,Moderaterna,http://www.wikidata.org/entity/Q5952272,M
Q5954133,Anders Lindblad,Socialdemokraterna,http://www.wikidata.org/entity/Q5954133,S
Q5954609,Ejnar Lindbärg,Socialdemokraterna,http://www.wikidata.org/entity/Q5954609,S
Q5955831,Adolf Lindgren,Moderaterna,http://www.wikidata.org/entity/Q5955831,M
Q5969615,Axel Löfvander,Centerpartiet,http://www.wikidata.org/entity/Q5969615,C
Q5969949,Olof Löthner,Moderaterna,http://www.wikidata.org/entity/Q5969949,M
