alias,wiki_id
Paulsen i Arlöv,Q6037794
Ros i Stockholm,Q6078640
Pettersson i Södertälje,Q6046940
Rydén i Malmö,Q6085444
Selggren i Gävle,Q6172244
Närlinge i Norrhyttan,Q6158007
Olsson i Norrhyttan,Q6158007
Selberg i Svartbyn,Q6172142
Sjöberg i Skövde,Q6177984
Sjöblom i Norrtälje,Q6178244
Selander i Stockholm,Q6172122
Sjölander i Kungsängen,Q6178786
Åkerhielm af Blombacka i Stockholm,Q6255176
Söderberg i Rotebro,Q6201579
Svensson i Krokstorp,Q6199190
Öhlin i Tollsta,Q6256634
Vult von Steyern i Sviestad,Q6227559
Westman i Broby,Q6238370
Ward i Norrköping,Q6232377
Öberg i Landskrona,Q6256250
Sjöberg i Stockholm,Q6327757
Dahl i Uddevalla,Q20727
Berger i Stockholm,Q5571772
Lundquist i Baggarbo,Q110617192
Andersson i Katrineholm,Q110617328
Knutsson i Linköping,Q110620158
Holmström i Södra Vram,Q110621758
Lindberg i Limhamn,Q110623938
Lindberg i Sofielund,Q110623938
Wachtmeister af Johannishus,Q6228020
Wachtmeister af Johannishus i Stockholm,Q6228037
Myrdal i Stockholm,Q152437
Myrdal i Ålsten,Q152452
Billing i Västerås,Q330757
Billing i Lund,Q330757
Sundman i Vaxholm,Q728197
Berg i Stockholm,Q3510888
Dahl i Uppsala,Q4356302
Örbom I Stockholm,Q4830390
Andersson i Olsbenning,Q5553924
Molin i Södertälje,Q5991033
Ekman i Lesjöfors,Q5630560
Andersson i Greby,Q5553949
Sundling i Söderby,Q6196285
Borg i Harnäs,Q5582377
Björkman i Norrköping,Q5577862
Alexanderson i Stockholm,Q5546274
Bagge i Stockholm,Q5563972
af Ekenstam i Hösterum,Q5629799
af Ekenstam i Visby,Q5629799
Asker i Halmstad,Q5561102
Asker i Gävle,Q5561113
Cruse i Stockholm,Q5613767
Beck-Friis i Söderö,Q5568216
Berget i Klippan,Q5571772
Bergqvist i Luleå,Q5573026
Bergström i Stockholm,Q5573300
Bergström i Stocksund o Djursholm,Q5573300
Edberg i Linköping,Q5626921
Edberg i Göteborg,Q5626921
Edbom i Ljusdal,Q5626942
Bonde i Ericsberg,Q5581542
Bonde i Grimmersta,Q5581542
af Callerholm i Hedemora,Q5601098
Cavalli i Malmö,Q5605172
Ericson i Boxholm,Q5714670
Emthén i Höven,Q5711007
Emthén i Marsta,Q5711007
Erlansson i Främlinge,Q5717854
Ersson i Östnor,Q5718571
Hansson i Trollhättan,Q5788959
Hellström i Luleå,Q5799761
Holmberg i Linköping,Q5810880
Holmström i Gävle,Q5812181
Hagström i Härnösand,Q5782765
Hallén i Arvika,Q5784568
Hallén i Torrskog,Q5784568
Hagberg i Östhammar,Q5781989
Hansson i Kristianstad,Q5789245
Håkanson i Viskafors,Q5820037
Hellström i Stockholm,Q5799761
Johansson i Uppmälby,Q5885758
Johansson i Kullerstad,Q5885983
Jesperson i Dorisborg,Q5883054
Jonsson i Hökhult,Q5891690
Karlsson I Vadstena,Q5901374
Johansson i Strömsberg,Q5886540
