role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
EU-minister,Regeringen Reinfeldt,Q429001,2010-02-02,2014-10-03,Birgitta Ohlsson,kvinna,1975-07-20,,Liberalerna,,birgitta_ohlsson_eu-minister_w
jämställdhetsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03,Maria Arnholm,kvinna,1958-03-16,,Liberalerna,,maria_arnholm_jamstalldhetsminister_w
arbetsmarknadsminister,Regeringen Reinfeldt,Q4981393,2013-09-17,2014-10-03,Elisabeth Svantesson,kvinna,1967-10-26,,Moderaterna,,elisabeth_svantesson_arbetsmarknadsminister_w
högskoleminister,Regeringen Reinfeldt,Q911372,2010-10-05,2014-10-03,Jan Björklund,man,1962-04-18,,Liberalerna,,jan_bjorklund_hogskoleminister_w
finansmarknadsminister,Regeringen Reinfeldt,Q3209237,2010-10-05,2014-10-03,Peter Norman,man,1958-04-03,,Moderaterna,,peter_norman_finansmarknadsminister_w
arbetsmarknadsminister,Regeringen Carlsson I,Q231413,1990-01-11,1991-10-04,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_arbetsmarknadsminister_w
migrationsminister,Regeringen Reinfeldt,Q3112958,2006-10-06,2014-09-29,Tobias Billström,man,1973-12-27,,Moderaterna,,tobias_billstrom_migrationsminister_w
Statsministerns ställföretädare,Regeringen Carlsson I,Q460919,1990-02-16,1990-02-27,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_statsministerns_stallforetadare_w
invandrarminister,Regeringen Carlsson I,Q5554537,1986-10-10,1989-01-29,Georg Andersson,man,1936-03-03,,Socialdemokraterna,,georg_andersson_invandrarminister_w
näringsminister,Regeringen Reinfeldt,Q439393,2011-09-23,2014-10-03,Annie Lööf,kvinna,1983-07-16,,Centerpartiet,,annie_loof_naringsminister_w
handelsminister,Regeringen Reinfeldt,Q984112,2006-10-24,2007-09-12,Sten Tolgfors,man,1966-07-17,,Moderaterna,,sten_tolgfors_handelsminister_w
arbetsmarknadsminister,Regeringen Reinfeldt,Q3112958,2010-07-07,2010-10-05,Tobias Billström,man,1973-12-27,,Moderaterna,,tobias_billstrom_arbetsmarknadsminister_w
biståndsminister,Regeringen Reinfeldt,Q772089,2013-09-17,2014-10-03,Hillevi Engström,kvinna,1963-04-15,,Moderaterna,,hillevi_engstrom_bistandsminister_w
handelsminister,Regeringen Reinfeldt,Q520223,2006-10-06,2006-10-14,Maria Borelius,kvinna,1960-07-06,,Moderaterna,,maria_borelius_handelsminister_w
