role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
justitieminister,Regeringen Edén,Q5360742,1917-10-19,1920-03-10,Eliel Löfgren,man,1872-03-15,1940-04-08,Liberalerna,Löfgren i Stockholm,eliel_lofgren_justitieminister_w
arbetsmarknadsminister,Regeringen Fälldin I,Q6244910,1978-03-07,1980-07-31,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_arbetsmarknadsminister_w
miljöminister,Regeringen Carlsson II,Q4356302,1986-03-12,1991-10-04,Birgitta Dahl,kvinna,1937-09-20,,Socialdemokraterna,Dahl i Uppsala,birgitta_dahl_miljominister_w
biträdande jordbruksminister,Regeringen Erlander I,Q354112,1946-10-11,1947-04-11,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_bitradande_jordbruksminister_w
försvarsminister,Regeringen Carlsson II,Q5603378,1985-10-14,1991-10-04,Roine Carlsson,man,1937-12-10,2020-08-01,Socialdemokraterna,,roine_carlsson_forsvarsminister_w
invandrarminister,Regeringen Carlsson II,Q4964703,1989-01-29,1991-10-04,Maj-Lis Lööw,kvinna,1936-08-13,,Socialdemokraterna,,maj-lis_loow_invandrarminister_w
konsumentminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_konsumentminister_w
digitaliseringsminister,Regeringen Löfven I,Q4822657,2014-10-03,2016-04-18,Mehmet Kaplan,man,1971-07-18,,Miljöpartiet,,mehmet_kaplan_digitaliseringsminister_w
socialminister,Regeringen Fälldin I,Q5778433,1976-10-08,1978-10-18,Rune Gustavsson,man,1920-12-02,2002-04-30,Centerpartiet,,rune_gustavsson_socialminister_w
jämställdhetsminister,Regeringen Carlsson II,Q4964703,1989-01-29,1991-10-04,Maj-Lis Lööw,kvinna,1936-08-13,,Socialdemokraterna,,maj-lis_loow_jamstalldhetsminister_w
budgetminister,Regeringen Fälldin I,Q5996964,1976-11-25,1980-07-31,Ingemar Mundebo,man,1930-10-15,2018-09-07,Liberalerna,,ingemar_mundebo_budgetminister_w
skolminister,Regeringen Carlsson II,Q53747,1989-01-29,1991-10-04,Göran Persson,man,1949-01-20,,Socialdemokraterna,Göran Persson i Stjärnhov,goran_persson_skolminister_w
utrikesminister,Regeringen Carlsson II,Q1346478,1985-10-17,1991-10-04,Sten Andersson,man,1923-04-20,2006-09-16,Socialdemokraterna,Andersson i Stockholm,sten_andersson_utrikesminister_w
biståndsminister,Regeringen Fälldin I,Q53733,1976-10-08,1978-10-18,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_bistandsminister_w
ecklesiastikminister,Regeringen Edén,Q6085444,1917-10-19,1919-11-28,Värner Rydén,man,1878-09-16,1930-09-14,Socialdemokraterna,Rydén i Malmö,varner_ryden_ecklesiastikminister_w
handelsminister,Regeringen Erlander I,Q5715273,1948-10-28,1955-09-12,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Kinna,john_ericsson_handelsminister_w
handelsminister,Regeringen Erlander I,Q5715273,1948-10-28,1955-09-12,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Stockholm,john_ericsson_handelsminister_w
energiminister,Regeringen Fälldin I,Q2021126,1976-10-08,1978-10-18,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_energiminister_w
invandrarminister,Regeringen Fälldin I,Q1347731,1976-10-08,1977-01-11,Per Ahlmark,man,1939-01-15,2018-06-08,Liberalerna,Ahlmark i Enskede,per_ahlmark_invandrarminister_w
sjöförsvarsminister,Regeringen Edén,Q1807154,1917-10-19,1920-03-10,Erik Palmstierna,man,1877-11-10,1959-11-22,Socialdemokraterna,,erik_palmstierna_sjoforsvarsminister_w
kommunikationsminister,Regeringen Fälldin I,Q6216923,1976-10-08,1978-10-18,Bo Turesson,man,1914-06-04,1997-10-14,Moderaterna,,bo_turesson_kommunikationsminister_w
inrikesminister,Regeringen Erlander I,Q5995142,1947-07-01,1951-10-01,Eije Mossberg,man,1908-01-21,1997-07-28,Socialdemokraterna,,eije_mossberg_inrikesminister_w
civilminister,Regeringen Edén,Q6169057,1917-10-19,1919-11-28,Axel Schotte,man,1860-09-13,1923-07-13,,,axel_schotte_civilminister_w
idrottsminister,Regeringen Carlsson II,Q5969868,1986-10-10,1991-10-04,Ulf Lönnqvist,man,1936-06-26,,Socialdemokraterna,,ulf_lonnqvist_idrottsminister_w
handelsminister,Regeringen Erlander I,Q3373681,1947-05-24,1948-09-24,Axel Gjöres,man,1889-11-11,1979-03-12,Socialdemokraterna,,axel_gjores_handelsminister_w
invandrarminister,Regeringen Fälldin I,Q6244910,1978-03-07,1978-10-18,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_invandrarminister_w
straffrättsminister,Regeringen Fälldin II,Q3658738,1979-11-06,1981-05-22,Carl Axel Petri,man,1929-08-12,2017-12-03,,,carl_axel_petri_straffrattsminister_w
näringsminister,Regeringen Fälldin I,Q6255950,1976-10-08,1978-10-18,Nils G. Åsling,man,1927-12-15,2017-08-12,Centerpartiet,,nils_g_asling_naringsminister_w
arbetsmarknadsminister,Regeringen Carlsson II,Q231413,1990-01-11,1991-10-04,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_arbetsmarknadsminister_w
jämställdhetsminister,Regeringen Fälldin I,Q6244910,1978-03-07,1978-10-18,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_jamstalldhetsminister_w
jämställdhetsminister,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07,Per Ahlmark,man,1939-01-15,2018-06-08,Liberalerna,Ahlmark i Enskede,per_ahlmark_jamstalldhetsminister_w
minister för nordiskt samarbete,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18,Johannes Antonsson,man,1921-11-20,1995-08-25,Centerpartiet,Antonsson i Dahla,johannes_antonsson_minister_for_nordiskt_samarbete_w
bostadsminister,Regeringen Fälldin I,Q4916267,1978-10-18,1982-10-08,Birgit Friggebo,kvinna,1941-12-25,,Liberalerna,,birgit_friggebo_bostadsminister_w
konsultativt statsråd,Regeringen Erlander I,Q5715273,1945-07-31,1948-10-28,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Kinna,john_ericsson_konsultativt_statsrad_w
konsultativt statsråd,Regeringen Erlander I,Q5715273,1945-07-31,1948-10-28,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Stockholm,john_ericsson_konsultativt_statsrad_w
ekonomiminister,Regeringen Fälldin I,Q263366,1976-11-25,1978-10-18,Gösta Bohman,man,1911-01-15,1997-08-12,Moderaterna,Bohman i Stockholm,gosta_bohman_ekonomiminister_w
infrastrukturminister,Regeringen Löfven I,Q4956893,2014-10-03,2017-07-27,Anna Johansson,kvinna,1971-05-29,,Socialdemokraterna,,anna_johansson_infrastrukturminister_w
utrikesminister,Regeringen Palme I,Q953952,1973-11-03,1976-10-08,Sven Andersson,man,1910-04-05,1987-09-21,Socialdemokraterna,,sven_andersson_utrikesminister_w
miljöminister,Regeringen Löfven I,Q271230,2014-10-03,2016-05-25,Åsa Romson,kvinna,1972-03-22,,Miljöpartiet,,asa_romson_miljominister_w
samfundsminister,Regeringen Palme I,Q5777699,1973-11-03,1976-10-08,Hans Gustafsson,man,1923-12-21,1998-08-25,Socialdemokraterna,,hans_gustafsson_samfundsminister_w
samfundsminister,Regeringen Palme I,Q5777713,1973-11-03,1976-10-08,Hans Gustafsson,man,1912-06-07,1981-09-23,Socialdemokraterna,,hans_gustafsson_samfundsminister_w
civilminister,Regeringen Löfven II,Q4967237,2019-10-01,2021-11-30,Lena Micko,kvinna,1955-06-18,,Socialdemokraterna,,lena_micko_civilminister_w
Statsministerns ställföretädare,Regeringen Löfven I,Q237522,2014-10-03,2019-09-10,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_statsministerns_stallforetadare_w
folkhushållningsminister,Regeringen Hansson II,Q5716548,1939-10-15,1941-03-07,Herman Eriksson,man,1892-10-20,1949-02-18,Socialdemokraterna,,herman_eriksson_folkhushallningsminister_w
kommunikationsminister,Regeringen Palme I,Q6017016,1969-07-01,1976-10-08,Bengt Norling,man,1925-01-12,2002-06-02,Socialdemokraterna,,bengt_norling_kommunikationsminister_w
utrikesminister,Regeringen Erlander I,Q298317,1945-07-31,1962-09-19,Östen Undén,man,1886-08-25,1974-01-14,Socialdemokraterna,,osten_unden_utrikesminister_w
inrikesminister,Regeringen Löfven I,Q5887217,2017-07-27,2019-01-21,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_inrikesminister_w
civilminister,Regeringen Erlander I,Q5959211,1950-07-01,1954-11-29,John Lingman,man,1901-11-19,1962-10-05,Socialdemokraterna,,john_lingman_civilminister_w
utrikesminister,Regeringen Hansson II,Q53637,1936-09-28,1939-12-13,Rickard Sandler,man,1884-01-29,1964-11-12,Socialdemokraterna,,rickard_sandler_utrikesminister_w
justitieminister,Regeringen Erlander I,Q6252055,1945-07-31,1957-09-20,Herman Zetterberg,man,1904-07-01,1963-03-18,Socialdemokraterna,,herman_zetterberg_justitieminister_w
näringsminister,Regeringen Palme I,Q3376192,1969-01-01,1971-06-30,Krister Wickman,man,1924-04-13,1993-09-10,Socialdemokraterna,,krister_wickman_naringsminister_w
finansmarknadsminister,Regeringen Löfven II,Q5581337,2014-10-03,2021-02-05,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_finansmarknadsminister_w
biståndsminister,Regeringen Löfven I,Q241208,2014-10-03,2019-01-21,Isabella Lövin,kvinna,1963-02-03,,Miljöpartiet,,isabella_lovin_bistandsminister_w
konsultativt statsråd,Regeringen Hansson II,Q5716548,1938-09-01,1939-10-14,Herman Eriksson,man,1892-10-20,1949-02-18,Socialdemokraterna,,herman_eriksson_konsultativt_statsrad_w
kommunikationsminister,Regeringen Hansson II,Q6192576,1938-12-16,1939-12-13,Gerhard Strindlund,man,1890-09-24,1957-10-10,Centerpartiet,Strindlund i Skedom,gerhard_strindlund_kommunikationsminister_w
arbetsmarknadsminister,Regeringen Palme I,Q707581,1974-01-01,1976-10-08,Ingemund Bengtsson,man,1919-01-30,2000-04-12,Socialdemokraterna,Bengtsson i Varberg,ingemund_bengtsson_arbetsmarknadsminister_w
minister för nordiskt samarbete,Regeringen Löfven I,Q4972535,2014-10-03,2016-05-25,Kristina Persson,kvinna,1945-04-16,,Socialdemokraterna,,kristina_persson_minister_for_nordiskt_samarbete_w
migrationsminister,Regeringen Löfven I,Q4949040,2017-07-27,2019-01-21,Heléne Fritzon,kvinna,1960-09-29,,Socialdemokraterna,,helene_fritzon_migrationsminister_w
handelsminister,Regeringen Palme I,Q927466,1970-10-09,1975-10-27,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_handelsminister_w
EU-minister,Regeringen Löfven I,Q18243775,2016-05-25,2019-01-21,Ann Linde,kvinna,1961-12-04,,Socialdemokraterna,,ann_linde_eu-minister_w
samordningsminister,Regeringen Palme I,Q5950208,1975-01-01,1975-11-01,Carl Lidbom,man,1926-03-02,2004-07-26,Socialdemokraterna,,carl_lidbom_samordningsminister_w
justitieminister,Regeringen Löfven I,Q5887217,2014-10-03,,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_justitieminister_w
näringsminister,Regeringen Palme I,Q5887636,1971-06-30,1976-10-08,Rune B. Johansson,man,1915-02-12,1982-03-18,Socialdemokraterna,,rune_b_johansson_naringsminister_w
kommunikationsminister,Regeringen Hansson II,Q4710223,1936-09-28,1938-12-16,Albert Forslund,man,1881-04-11,1954-05-04,Socialdemokraterna,Forslund i Spånga,albert_forslund_kommunikationsminister_w
idrottsminister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27,Gabriel Wikström,man,1985-02-21,,Socialdemokraterna,,gabriel_wikstrom_idrottsminister_w
inrikesminister,Regeringen Palme I,Q707581,1973-11-03,1973-12-31,Ingemund Bengtsson,man,1919-01-30,2000-04-12,Socialdemokraterna,Bengtsson i Varberg,ingemund_bengtsson_inrikesminister_w
jordbruksminister,Regeringen Palme I,Q5967249,1973-11-03,1976-10-08,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_jordbruksminister_w
jämställdhetsminister,Regeringen Löfven I,Q3431836,2018-03-08,2019-01-21,Lena Hallengren,kvinna,1973-12-25,,Socialdemokraterna,,lena_hallengren_jamstalldhetsminister_w
finansminister,Regeringen Erlander I,Q6180686,1949-10-21,1955-09-12,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_finansminister_w
finansminister,Regeringen Erlander I,Q6180686,1949-10-21,1955-09-12,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_finansminister_w
finansminister,Regeringen Löfven I,Q4935873,2014-10-03,2021-11-30,Magdalena Andersson,kvinna,1967-01-23,,Socialdemokraterna,,magdalena_andersson_finansminister_w
löneminister,Regeringen Palme I,Q5969341,1969-10-14,1975-11-01,Bertil Löfberg,man,1923-08-06,1997-07-06,Socialdemokraterna,,bertil_lofberg_loneminister_w
Statsministerns ställföretädare,Regeringen Palme I,Q354112,1975-01-01,1976-10-08,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_statsministerns_stallforetadare_w
jordbruksminister,Regeringen Erlander I,Q6180686,1945-07-31,1948-10-29,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_jordbruksminister_w
jordbruksminister,Regeringen Erlander I,Q6180686,1945-07-31,1948-10-29,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_jordbruksminister_w
konsultativt statsråd,Regeringen Erlander I,Q953952,1948-10-28,1951-10-01,Sven Andersson,man,1910-04-05,1987-09-21,Socialdemokraterna,,sven_andersson_konsultativt_statsrad_w
inrikesminister,Regeringen Löfven I,Q3375050,2014-10-03,2017-07-27,Anders Ygeman,man,1970-06-17,,Socialdemokraterna,,anders_ygeman_inrikesminister_w
utbildningsminister,Regeringen Palme I,Q6250583,1973-11-03,1976-10-08,Bertil Zachrisson,man,1926-05-02,,Socialdemokraterna,,bertil_zachrisson_utbildningsminister_w
civilminister,Regeringen Palme I,Q5967249,1969-07-01,1973-11-03,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_civilminister_w
minister för nordiskt samarbete,Regeringen Palme I,Q927466,1970-10-03,1976-10-08,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_minister_for_nordiskt_samarbete_w
migrationsminister,Regeringen Löfven I,Q5887217,2014-10-03,2017-07-27,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_migrationsminister_w
biståndsminister,Regeringen Palme I,Q4978577,1973-11-03,1976-10-08,Gertrud Sigurdsen,kvinna,1923-01-11,2015-03-27,Socialdemokraterna,,gertrud_sigurdsen_bistandsminister_w
samordningsminister,Regeringen Erlander I,Q6180686,1948-10-28,1949-10-21,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_samordningsminister_w
samordningsminister,Regeringen Erlander I,Q6180686,1948-10-28,1949-10-21,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_samordningsminister_w
minister för nordiskt samarbete,Regeringen Löfven I,Q237522,2016-05-25,2019-01-21,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_minister_for_nordiskt_samarbete_w
samordningsminister,Regeringen Löfven I,Q3055916,2016-05-25,2019-01-21,Ibrahim Baylan,man,1972-03-15,,Socialdemokraterna,,ibrahim_baylan_samordningsminister_w
inrikesminister,Regeringen Palme I,Q2345137,1969-01-25,1973-11-03,Eric Holmqvist,man,1917-02-02,2009-06-05,Socialdemokraterna,,eric_holmqvist_inrikesminister_w
socialminister,Regeringen Erlander I,Q4570928,1939-12-13,1951-10-01,Gustav Möller,man,1884-06-06,1970-08-15,Socialdemokraterna,,gustav_moller_socialminister_w
handelsminister,Regeringen Palme I,Q5950208,1975-11-10,1976-10-08,Carl Lidbom,man,1926-03-02,2004-07-26,Socialdemokraterna,,carl_lidbom_handelsminister_w
socialminister,Regeringen Hansson II,Q4570928,1936-09-28,1938-12-16,Gustav Möller,man,1884-06-06,1970-08-15,Socialdemokraterna,,gustav_moller_socialminister_w
jordbruksminister,Regeringen Erlander I,Q354112,1948-10-30,1951-10-01,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_jordbruksminister_w
samordningsminister,Regeringen Palme I,Q2408431,1975-11-01,1976-10-08,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_samordningsminister_w
ecklesiastikminister,Regeringen Erlander I,Q4970543,1951-03-17,1951-10-01,Hildur Nygren,kvinna,1896-03-22,1962-04-24,Socialdemokraterna,,hildur_nygren_ecklesiastikminister_w
kommunikationsminister,Regeringen Erlander I,Q241035,1945-07-31,1951-10-01,Torsten Nilsson,man,1905-04-01,1997-12-14,Socialdemokraterna,Nilsson i Stockholm,torsten_nilsson_kommunikationsminister_w
utrikesminister,Regeringen Palme I,Q3376192,1971-06-30,1973-11-03,Krister Wickman,man,1924-04-13,1993-09-10,Socialdemokraterna,,krister_wickman_utrikesminister_w
näringsminister,Regeringen Löfven I,Q3372917,2014-10-03,2019-01-21,Mikael Damberg,man,1971-10-13,,Socialdemokraterna,,mikael_damberg_naringsminister_w
invandrarminister,Regeringen Palme I,Q4970788,1967-01-09,1973-11-03,Camilla Odhnoff,kvinna,1928-06-06,2013-07-16,Socialdemokraterna,,camilla_odhnoff_invandrarminister_w
kommunminister,Regeringen Palme I,Q5777699,1974-01-01,1976-10-08,Hans Gustafsson,man,1923-12-21,1998-08-25,Socialdemokraterna,,hans_gustafsson_kommunminister_w
socialminister,Regeringen Hansson II,Q4710223,1938-12-16,1939-12-13,Albert Forslund,man,1881-04-11,1954-05-04,Socialdemokraterna,Forslund i Spånga,albert_forslund_socialminister_w
justitieminister,Regeringen Hansson II,Q4353489,1936-09-28,1943-08-30,Karl Gustaf Westman,man,1876-08-18,1944-01-24,Centerpartiet,Westman i Stockholm,karl_gustaf_westman_justitieminister_w
justitieminister,Regeringen Hansson II,Q4353489,1936-09-28,1943-08-30,Karl Gustaf Westman,man,1876-08-18,1944-01-24,Centerpartiet,Westman i Uppsala,karl_gustaf_westman_justitieminister_w
handelsminister,Regeringen Hansson II,Q6180686,1936-09-28,1938-12-16,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_handelsminister_w
handelsminister,Regeringen Hansson II,Q6180686,1936-09-28,1938-12-16,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_handelsminister_w
socialförsäkringsminister,Regeringen Löfven I,Q4980750,2014-10-03,2019-10-01,Annika Strandhäll,kvinna,1975-04-30,,Socialdemokraterna,,annika_strandhall_socialforsakringsminister_w
bostadsminister,Regeringen Löfven I,Q5581337,2016-04-18,2016-05-25,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_bostadsminister_w
finansminister,Regeringen Palme I,Q354112,1955-09-12,1976-10-08,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_finansminister_w
handelsminister,Regeringen Hansson II,Q4570928,1938-12-16,1939-12-13,Gustav Möller,man,1884-06-06,1970-08-15,Socialdemokraterna,,gustav_moller_handelsminister_w
bostadsminister,Regeringen Löfven I,Q470630,2016-05-25,2019-01-21,Peter Eriksson,man,1958-08-03,,Miljöpartiet,,peter_eriksson_bostadsminister_w
försvarsminister,Regeringen Palme I,Q2345137,1973-01-01,1976-01-01,Eric Holmqvist,man,1917-02-02,2009-06-05,Socialdemokraterna,,eric_holmqvist_forsvarsminister_w
handelsminister,Regeringen Löfven I,Q18243775,2016-05-25,2019-09-10,Ann Linde,kvinna,1961-12-04,,Socialdemokraterna,,ann_linde_handelsminister_w
civilminister,Regeringen Löfven I,Q4787806,2014-10-03,2019-09-30,Ardalan Shekarabi,man,1978-11-28,,Socialdemokraterna,,ardalan_shekarabi_civilminister_w
miljöminister,Regeringen Löfven I,Q4979119,2016-05-25,2019-01-21,Karolina Skog,kvinna,1976-03-30,,Miljöpartiet,,karolina_skog_miljominister_w
socialminister,Regeringen Palme I,Q5561426,1962-09-19,1976-10-08,Sven Aspling,man,1912-08-28,2000-02-06,Socialdemokraterna,,sven_aspling_socialminister_w
skolminister,Regeringen Palme I,Q5989925,1967-09-29,1973-11-03,Sven Moberg,man,1919-11-19,1994-10-04,Socialdemokraterna,,sven_moberg_skolminister_w
miljöminister,Regeringen Löfven II,Q5581337,2021-02-05,2021-11-30,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_miljominister_w
justitieminister,Regeringen Palme I,Q2130664,1969-10-14,1976-10-08,Lennart Geijer,man,1909-09-14,1999-06-16,Socialdemokraterna,,lennart_geijer_justitieminister_w
konsumentminister,Regeringen Löfven I,Q5581337,2014-10-03,2019-01-21,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_konsumentminister_w
utbildningsminister,Regeringen Palme I,Q53740,1969-10-14,1973-11-02,Ingvar Carlsson,man,1934-11-09,,Socialdemokraterna,Carlsson i Tyresö,ingvar_carlsson_utbildningsminister_w
finansmarknadsminister,Regeringen Löfven I,Q5581337,2014-10-03,2021-02-05,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_finansmarknadsminister_w
finansminister,Regeringen Erlander I,Q5783838,1949-07-01,1949-10-17,David Hall,man,1898-02-27,1957-02-07,Socialdemokraterna,,david_hall_finansminister_w
jordbruksminister,Regeringen Palme I,Q707581,1969-01-25,1973-11-02,Ingemund Bengtsson,man,1919-01-30,2000-04-12,Socialdemokraterna,Bengtsson i Varberg,ingemund_bengtsson_jordbruksminister_w
handelsminister,Regeringen Palme I,Q6146893,1955-09-12,1970-10-09,Gunnar Lange,man,1909-03-09,1976-09-17,Socialdemokraterna,,gunnar_lange_handelsminister_w
socialminister,Regeringen Löfven I,Q4980750,2017-07-27,2019-01-21,Annika Strandhäll,kvinna,1975-04-30,,Socialdemokraterna,,annika_strandhall_socialminister_w
invandrarminister,Regeringen Palme I,Q1796120,1973-11-03,1976-10-08,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_invandrarminister_w
bostadsminister,Regeringen Palme I,Q53740,1974-01-01,1976-10-08,Ingvar Carlsson,man,1934-11-09,,Socialdemokraterna,Carlsson i Tyresö,ingvar_carlsson_bostadsminister_w
utrikesminister,Regeringen Löfven I,Q237522,2014-10-03,2019-09-10,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_utrikesminister_w
energiminister,Regeringen Löfven I,Q3055916,2014-10-03,2019-01-21,Ibrahim Baylan,man,1972-03-15,,Socialdemokraterna,,ibrahim_baylan_energiminister_w
idrottsminister,Regeringen Löfven I,Q24018140,2019-01-21,2021-11-30,Amanda Lind,kvinna,1980-08-02,,Miljöpartiet,,amanda_lind_idrottsminister_w
jämställdhetsminister,Regeringen Palme I,Q1796120,1973-11-03,1976-10-08,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_jamstalldhetsminister_w
försvarsminister,Regeringen Palme I,Q953952,1957-03-22,1973-10-31,Sven Andersson,man,1910-04-05,1987-09-21,Socialdemokraterna,,sven_andersson_forsvarsminister_w
landsbygdsminister,Regeringen Löfven II,Q4563096,2019-01-21,2021-06-30,Jennie Nilsson,kvinna,1972-01-25,,Socialdemokraterna,,jennie_nilsson_landsbygdsminister_w
försvarsminister,Regeringen Hansson II,Q6180686,1938-12-16,1945-07-31,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_forsvarsminister_w
försvarsminister,Regeringen Hansson II,Q6180686,1938-12-16,1945-07-31,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_forsvarsminister_w
digitaliseringsminister,Regeringen Löfven I,Q5581337,2016-04-18,2016-05-25,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_digitaliseringsminister_w
ungdomsminister,Regeringen Palme I,Q4970788,1969-10-14,1973-11-03,Camilla Odhnoff,kvinna,1928-06-06,2013-07-16,Socialdemokraterna,,camilla_odhnoff_ungdomsminister_w
digitaliseringsminister,Regeringen Löfven I,Q470630,2016-05-25,2019-01-21,Peter Eriksson,man,1958-08-03,,Miljöpartiet,,peter_eriksson_digitaliseringsminister_w
konsultativt statsråd,Regeringen Erlander I,Q5959211,1950-01-04,1950-07-01,John Lingman,man,1901-11-19,1962-10-05,Socialdemokraterna,,john_lingman_konsultativt_statsrad_w
konsultativt statsråd,Regeringen Palme I,Q5950208,1969-10-14,1974-12-31,Carl Lidbom,man,1926-03-02,2004-07-26,Socialdemokraterna,,carl_lidbom_konsultativt_statsrad_w
samfundsminister,Regeringen Palme I,Q152437,1969-10-14,1973-11-03,Alva Myrdal,kvinna,1902-01-31,1986-02-01,Socialdemokraterna,Myrdal i Stockholm,alva_myrdal_samfundsminister_w
civilminister,Regeringen Löfven III,Q4967237,2019-10-01,2021-11-30,Lena Micko,kvinna,1955-06-18,,Socialdemokraterna,,lena_micko_civilminister_w
utrikesminister,Regeringen Palme I,Q241035,1962-09-19,1971-06-30,Torsten Nilsson,man,1905-04-01,1997-12-14,Socialdemokraterna,Nilsson i Stockholm,torsten_nilsson_utrikesminister_w
löneminister,Regeringen Palme I,Q927466,1975-11-01,1976-10-08,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_loneminister_w
minister för nordiskt samarbete,Regeringen Löfven II,Q18243775,2019-01-21,2019-09-10,Ann Linde,kvinna,1961-12-04,,Socialdemokraterna,,ann_linde_minister_for_nordiskt_samarbete_w
socialförsäkringsminister,Regeringen Löfven II,Q4980750,2014-10-03,2019-10-01,Annika Strandhäll,kvinna,1975-04-30,,Socialdemokraterna,,annika_strandhall_socialforsakringsminister_w
biståndsminister,Regeringen Löfven II,Q19977122,2021-02-05,2021-11-30,Per Olsson Fridh,man,1981-06-27,,Miljöpartiet,,per_olsson_fridh_bistandsminister_w
kulturminister,Regeringen Löfven III,Q24018140,2019-01-21,2021-11-30,Amanda Lind,kvinna,1980-08-02,,Miljöpartiet,,amanda_lind_kulturminister_w
handelsminister,Regeringen Löfven II,Q18243775,2016-05-25,2019-09-10,Ann Linde,kvinna,1961-12-04,,Socialdemokraterna,,ann_linde_handelsminister_w
civilminister,Regeringen Löfven II,Q4787806,2014-10-03,2019-09-30,Ardalan Shekarabi,man,1978-11-28,,Socialdemokraterna,,ardalan_shekarabi_civilminister_w
socialförsäkringsminister,Regeringen Löfven III,Q4787806,2019-10-01,,Ardalan Shekarabi,man,1978-11-28,,Socialdemokraterna,,ardalan_shekarabi_socialforsakringsminister_w
skolminister,Regeringen Andersson,Q23915324,2021-11-30,,Lina Axelsson Kihlblom,kvinna,1970-06-24,,,,lina_axelsson_kihlblom_skolminister_w
