role,government,wiki_id,start,end
folkhälsominister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27
utrikesminister,Regeringen Löfven III,Q18243775,2019-09-10,
justitieminister,Regeringen Löfven III,Q5887217,2014-10-03,
högskoleminister,Regeringen Löfven III,Q3373058,2019-01-21,2021-11-30
EU-minister,Regeringen Löfven II,Q5615474,2019-01-21,2021-07-09
EU-minister,Regeringen Andersson,Q5615474,2021-07-09,
biståndsminister,Regeringen Löfven II,Q241208,2020-12-17,2021-02-05
finansminister,Regeringen Löfven III,Q4935873,2014-10-03,2021-11-30
miljöminister,Regeringen Löfven III,Q5581337,2021-02-05,2021-11-30
Klimatminister,Regeringen Löfven III,Q5581337,2021-02-05,2021-11-30
miljöminister,Regeringen Löfven II,Q241208,2019-01-21,2021-02-05
handelsminister,Regeringen Löfven III,Q67207189,2019-09-10,
utrikesminister,Regeringen Löfven II,Q18243775,2019-09-10,
justitieminister,Regeringen Löfven II,Q5887217,2014-10-03,
högskoleminister,Regeringen Löfven II,Q3373058,2019-01-21,2021-11-30
ungdomsminister,Regeringen Löfven I,Q4946204,2016-09-13,2019-01-21
utrikesminister,Regeringen Andersson,Q18243775,2019-09-10,
infrastrukturminister,Regeringen Löfven I,Q5711551,2017-07-27,
finansminister,Regeringen Löfven II,Q4935873,2014-10-03,2021-11-30
justitieminister,Regeringen Andersson,Q5887217,2014-10-03,
Klimatminister,Regeringen Löfven II,Q5581337,2021-02-05,2021-11-30
handelsminister,Regeringen Löfven II,Q67207189,2019-09-10,
kulturminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21
socialminister,Regeringen Löfven III,Q3431836,2019-01-21,
digitaliseringsminister,Regeringen Löfven III,Q3375050,2019-01-21,2021-11-30
finansmarknadsminister,Regeringen Löfven III,Q23916255,2021-02-05,2021-11-30
biståndsminister,Regeringen Löfven II,Q470630,2019-01-21,2020-12-17
migrationsminister,Regeringen Löfven III,Q5887217,2019-01-21,2021-11-30
landsbygdsminister,Regeringen Löfven I,Q4609816,2014-10-03,2019-01-21
biståndsminister,Regeringen Löfven III,Q19977122,2021-02-05,2021-11-30
socialminister,Regeringen Löfven II,Q3431836,2019-01-21,
demokratiminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21
digitaliseringsminister,Regeringen Löfven II,Q3375050,2019-01-21,2021-11-30
finansmarknadsminister,Regeringen Löfven II,Q23916255,2021-02-05,2021-11-30
jämställdhetsminister,Regeringen Löfven II,Q23916255,2019-01-21,2021-02-05
socialminister,Regeringen Andersson,Q3431836,2019-01-21,
migrationsminister,Regeringen Löfven II,Q5887217,2019-01-21,2021-11-30
infrastrukturminister,Regeringen Löfven III,Q5711551,2017-07-27,
kulturminister,Regeringen Andersson,Q109828321,2021-11-30,
