role,wiki_id,start,end,name,gender,born,dead,party,alias,id
första kammarens vice talman,Q5359581,1891-01-01,1895-01-01,Gustaf Sparre,man,1834-05-31,1914-09-04,,Sparre af Söfdeborg i Stockholm o Mariedal,fk_vice_talman_gustaf_sparre_w
andra kammarens vice talman,Q5616733,1891-01-01,1894-01-01,Anders Danielsson,man,1839-12-01,1897-12-18,,Danielson i Dyestad,ak_vice_talman_anders_danielsson_w
första kammarens vice talman,Q6080191,1876-01-01,1877-01-01,Henrik Rosensvärd,man,1816-10-13,1890-11-13,,Rosensvärd i Long,fk_vice_talman_henrik_rosensvard_w
andra kammarens talman,Q6201372,1933-01-01,1952-01-01,August Sävström,man,1879-03-25,1960-03-24,Socialdemokraterna,,ak_talman_august_savstrom_w
andra kammarens vice talman,Q6039716,1903-01-01,1908-01-01,Pehr Pehrson i Törneryd,man,1845-09-03,1915-03-17,,Pehrson i Törneryd,ak_vice_talman_pehr_pehrson_i_torneryd_w
Sveriges riksdags talman,Q1606431,1971-01-11,1979-10-01,Henry Allard,man,1911-11-21,1996-10-23,Socialdemokraterna,Allard i Örebro,talman_henry_allard_w
första kammarens vice talman,Q6255176,1905-01-01,,Lars Åkerhielm den yngre,man,1846-04-14,1920-05-07,,Åkerhielm af Blombacka i Stockholm,fk_vice_talman_lars_akerhielm_den_yngre_w
Sveriges riksdags talman,Q879773,2002-09-30,2006-10-02,Björn von Sydow,man,1945-11-26,,Socialdemokraterna,,talman_bjorn_von_sydow_w
första kammarens vice talman,Q330757,1909-01-01,1912-01-01,Gottfrid Billing,man,1841-04-29,1925-01-14,Moderaterna,Billing i Västerås,fk_vice_talman_gottfrid_billing_w
första kammarens vice talman,Q330757,1909-01-01,1912-01-01,Gottfrid Billing,man,1841-04-29,1925-01-14,Moderaterna,Billing i Lund,fk_vice_talman_gottfrid_billing_w
första kammarens vice talman,Q1291317,1878-01-01,,Edvard Carleson,man,1820-11-16,1884-04-01,,Carleson i Stockholm,fk_vice_talman_edvard_carleson_w
andre vice talman i första kammaren,Q6011346,1921-01-01,1928-01-01,August Nilsson,man,1867-03-26,1952-12-20,,Nilsson i Malmö,fk_2_vice_talman_august_nilsson_w
andre vice talman i första kammaren,Q6011346,1921-01-01,1928-01-01,August Nilsson,man,1867-03-26,1952-12-20,,Nilsson i Kabbarp,fk_2_vice_talman_august_nilsson_w
förste vice talman i första kammaren,Q6027656,1931-01-01,1939-01-01,Olof Olsson,man,1872-06-18,1939-12-18,Socialdemokraterna,Olsson i Göteborg,fk_1_vice_talman_olof_olsson_w
andra kammarens vice talman,Q5938123,1885-01-01,1887-01-01,Liss Olof Larsson,man,1838-01-17,1896-09-12,,Larsson i Västannor,ak_vice_talman_liss_olof_larsson_w
första kammarens talman,Q1555429,1867-01-01,1876-01-01,Gustaf Lagerbjelke,man,1817-10-06,1895-03-06,,,fk_talman_gustaf_lagerbjelke_w
första kammarens talman,Q2940262,1912-01-01,1915-01-01,Ivar Afzelius,man,1848-10-15,1921-10-30,,,fk_talman_ivar_afzelius_w
andra kammarens talman,Q5803390,1892-01-01,1893-01-01,Carl Herslow,man,1836-04-03,1933-09-18,,Herslow i Malmö,ak_talman_carl_herslow_w
första kammarens talman,Q6223681,1928-01-01,1936-01-01,Axel Vennersten,man,1863-01-20,1948-03-22,,Vennersten i Borås,fk_talman_axel_vennersten_w
första kammarens talman,Q6223681,1928-01-01,1936-01-01,Axel Vennersten,man,1863-01-20,1948-03-22,,Vennersten i Stockholm,fk_talman_axel_vennersten_w
förste vice talman i första kammaren,Q5774246,1939-01-01,1951-01-01,Petrus Gränebo,man,1881-12-28,1959-10-14,Centerpartiet,Nilsson i Gränebo,fk_1_vice_talman_petrus_granebo_w
Sveriges riksdags talman,Q517762,1991-09-30,1994-10-03,Ingegerd Troedsson,kvinna,1929-06-05,2012-11-03,Moderaterna,,talman_ingegerd_troedsson_w
första kammarens vice talman,Q2944347,1875-01-01,,Gerhard Lagerstråle,man,1814-02-25,1887-04-18,,Lagerstråle i Stockholm,fk_vice_talman_gerhard_lagerstrale_w
förste vice talman i första kammaren,Q6011346,1929-01-01,1930-01-01,August Nilsson,man,1867-03-26,1952-12-20,,Nilsson i Malmö,fk_1_vice_talman_august_nilsson_w
förste vice talman i första kammaren,Q6011346,1929-01-01,1930-01-01,August Nilsson,man,1867-03-26,1952-12-20,,Nilsson i Kabbarp,fk_1_vice_talman_august_nilsson_w
andra kammarens vice talman,Q5822171,1880-04-21,1884-01-01,Carl Ifvarsson,man,1818-02-13,1889-12-27,,Ifvarsson i Värestorp,ak_vice_talman_carl_ifvarsson_w
andra kammarens vice talman,Q5938123,1889-01-01,1890-01-01,Liss Olof Larsson,man,1838-01-17,1896-09-12,,Larsson i Västannor,ak_vice_talman_liss_olof_larsson_w
andra kammarens talman,Q3893038,1924-01-01,1927-01-01,Herman Lindqvist,man,1863-07-09,1932-05-29,Socialdemokraterna,Lindqvist i Stockholm,ak_talman_herman_lindqvist_w
