wiki_id,location,person_id
Q5891896,Hov,Q5891896
Q5812181,Gävle,Q5812181
Q5630611,Göteborg,Q5630611
Q5885446,Lövholmen,Q5885446
Q6026026,Arvika,Q6026026
Q5557484,Lindome,Q5557484
Q5570062,Danderyd,Q5570062
Q5570062,Jönköping,Q5570062
Q5577577,Påarp,Q5577577
Q5603482,Borås,Q5603482
Q5410165,Göteborg,Q5410165
Q5410165,Malmö,Q5410165
Q5544228,Alva,Q5544228
Q5544228,Hemse,Q5544228
Q6200560,Malmö,Q6200560
Q5554604,Rossvik,Q5554604
Q5556080,Sveneby,Q5556080
Q5568838,Sickelsjö,Q5568838
Q5571424,Ekudden,Q5571424
Q5572843,Sundsvall,Q5572843
Q5575715,Töcksfors,Q5575715
Q5576607,Rönninge,Q5576607
Q5590424,Merlo,Q5590424
Q5590424,Erikssund,Q5590424
Q5590424,Gustavsberg,Q5590424
Q5604541,Gunnerud,Q5604541
Q5618613,Hanaskog,Q5618613
Q5547372,Stockholm,Q5547372
Q6255630,Rebbelberga,Q6255630
Q4709637,Valnäs,Q4709637
Q5571938,Karlskrona,Q5571938
Q5568219,Skövde,Q5568219
Q5583260,Simmartorp,Q5583260
Q5573237,Bosjön,Q5573237
Q1353856,Söderby,Q1353856
Q5547407,Stockholm,Q5547407
Q4993034,Stockholm,Q4993034
Q5567413,Orraryd,Q5567413
Q5580347,Grausne,Q5580347
Q6227924,Karlskrona,Q6227924
Q6240962,Göteborg,Q6240962
Q6241003,Göteborg,Q6241003
Q5576225,Lund,Q5576225
Q5543827,Lidingö,Q5543827
Q5543827,Stockholm,Q5543827
Q5822164,Ränneslöv,Q5822164
Q5938457,Mörtlösa,Q5938457
Q5958323,Långnäs,Q5958323
Q5891755,Hå,Q5891755
Q6010354,Vibberbo,Q6010354
Q5887336,Edsbyn,Q5887336
Q5912025,Stockholm,Q5912025
Q5938515,Fole,Q5938515
Q5973769,Ålsten,Q5973769
Q6009646,Rinkaby,Q6009646
Q6011383,Vrängebol,Q6011383
Q6026783,Kyrkebol,Q6026783
Q6033580,Stockholm,Q6033580
Q6011367,Karlstad,Q6011367
Q6039805,Norrsund,Q6039805
Q6043805,Norrköping,Q6043805
Q6009684,Norrlångträsk,Q6009684
Q6045299,Dänningelanda,Q6045299
Q5811211,Karlskrona,Q5811211
Q6026915,Broddbo,Q6026915
Q6044972,Gäddvik,Q6044972
Q6198101,Edum,Q6198101
Q6157386,Hammerdal,Q6157386
Q6139775,Öckerö,Q6139775
Q6042832,Borrby,Q6042832
Q6043007,Arboga,Q6043007
Q6238370,Broby,Q6238370
Q6253724,Vadstena,Q6253724
Q6011376,Skärhus,Q6011376
Q6023517,Halmstad,Q6023517
Q6023601,Växjö,Q6023601
Q6026244,Torsby,Q6026244
Q6026474,Mora,Q6026474
Q6026474,Morastrand,Q6026474
Q6027677,Olebyn,Q6027677
Q6039817,Österby,Q6039817
Q6039817,Göteborg,Q6039817
