wiki_id,start,end,party,party_id
Q16165766,1974-01-10,1976-10-04,Centerpartiet,Q110832
Q16165766,1976-10-04,1979-10-01,Centerpartiet,Q110832
Q16165766,1979-10-01,1982-10-04,Centerpartiet,Q110832
Q16165766,1982-10-04,1985-09-30,Centerpartiet,Q110832
Q1635136,1982-10-04,1985-09-30,Moderaterna,Q110843
Q1635136,1985-09-30,1988-10-03,Moderaterna,Q110843
Q1635136,1988-10-03,1991-09-30,Moderaterna,Q110843
Q1635136,1991-09-30,1994-10-03,Moderaterna,Q110843
Q16594543,2012-10-04,2014-09-29,Socialdemokraterna,Q105112
Q16595341,1985-01-24,1985-06-06,Socialdemokraterna,Q105112
Q16595341,1985-06-07,1985-09-30,Socialdemokraterna,Q105112
Q16595953,2018-09-24,2022-09-26,Liberalerna,Q110857
Q16595953,2022-09-26,,Liberalerna,Q110857
Q16596143,2015-05-18,2015-12-17,Miljöpartiet,Q213451
Q16596143,2015-12-18,2015-12-31,Miljöpartiet,Q213451
Q16596188,1974-01-10,1976-10-04,Centerpartiet,Q110832
Q16596188,1976-10-04,1979-10-01,Centerpartiet,Q110832
Q16596188,1979-10-01,1982-10-04,Centerpartiet,Q110832
Q16616153,2014-09-29,2018-09-24,Centerpartiet,Q110832
Q16616153,2018-09-24,2020-04-06,Centerpartiet,Q110832
Q16616153,2020-11-30,2022-09-26,Centerpartiet,Q110832
Q16616217,2013-10-21,2013-12-20,Centerpartiet,Q110832
Q16616217,2014-03-03,2014-04-03,Centerpartiet,Q110832
Q16623762,2014-09-29,2014-09-29,Sverigedemokraterna,Q504069
Q16633048,2021-01-01,2021-02-28,Centerpartiet,Q110832
Q16633140,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q16633140,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q16633140,2022-09-26,,Socialdemokraterna,Q105112
Q16633210,1986-03-01,1988-10-03,Socialdemokraterna,Q105112
Q16633210,1988-10-03,1991-09-30,Socialdemokraterna,Q105112
Q16633210,1991-09-30,1994-10-03,Socialdemokraterna,Q105112
Q16633210,1994-10-03,1998-10-05,Socialdemokraterna,Q105112
Q16633210,1998-10-05,2001-02-28,Socialdemokraterna,Q105112
Q16633235,2014-09-29,2014-09-29,Sverigedemokraterna,Q504069
Q16633319,2011-10-10,2012-03-18,Moderaterna,Q110843
Q16633319,2012-03-19,2012-04-18,Moderaterna,Q110843
Q16633319,2012-04-19,2012-08-15,Moderaterna,Q110843
Q16633319,2012-08-16,2012-12-31,Moderaterna,Q110843
Q16633319,2013-01-01,2014-09-29,Moderaterna,Q110843
Q16633339,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q16633339,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q16633339,2022-09-26,,Socialdemokraterna,Q105112
Q16633513,2017-07-15,2018-09-24,Miljöpartiet,Q213451
Q16633513,2018-09-24,2021-01-31,Miljöpartiet,Q213451
Q16633513,2021-02-01,2022-09-26,Miljöpartiet,Q213451
Q1663473,1991-10-05,1994-10-03,Kristdemokraterna,Q213654
Q1663473,1994-10-03,1994-10-07,Kristdemokraterna,Q213654
Q1663473,1998-10-05,2002-09-30,Kristdemokraterna,Q213654
Q1663473,2002-09-30,2006-10-02,Kristdemokraterna,Q213654
Q1663473,2006-10-02,2010-10-04,Kristdemokraterna,Q213654
Q16649506,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q16649506,1974-01-10,1976-10-04,Socialdemokraterna,Q105112
Q16649506,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q1681577,1988-10-03,1991-09-30,Socialdemokraterna,Q105112
Q1681577,1991-09-30,1994-10-03,Socialdemokraterna,Q105112
Q1681577,1994-10-03,1995-01-09,Socialdemokraterna,Q105112
Q1681740,2006-10-02,2010-10-04,Moderaterna,Q110843
Q1681740,2010-10-04,2014-09-29,Moderaterna,Q110843
Q1681740,2014-09-29,2018-09-24,Moderaterna,Q110843
Q1681740,2018-09-24,2022-09-26,Moderaterna,Q110843
Q1681740,2022-09-26,,Moderaterna,Q110843
Q17080318,2018-09-24,2022-05-04,Kristdemokraterna,Q213654
Q17080318,2022-06-24,2022-09-26,Kristdemokraterna,Q213654
Q17265833,2014-09-29,2018-09-24,Liberalerna,Q110857
Q17265833,2018-09-24,2019-03-12,Liberalerna,Q110857
Q17265833,2019-05-17,2022-09-26,Liberalerna,Q110857
Q17265833,2022-09-26,,Liberalerna,Q110857
Q1727737,1971-01-11,1974-01-10,Centerpartiet,Q110832
Q1727737,1974-01-10,1976-10-04,Centerpartiet,Q110832
Q1727737,1976-10-04,1979-10-01,Centerpartiet,Q110832
Q1727737,1979-10-01,1982-10-04,Centerpartiet,Q110832
Q1727737,1982-10-04,1985-09-30,Centerpartiet,Q110832
Q17426180,1974-01-10,1974-01-10,Socialdemokraterna,Q105112
Q17426180,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q17426180,1979-10-01,1982-10-04,Socialdemokraterna,Q105112
Q17426180,1982-10-04,1985-09-30,Socialdemokraterna,Q105112
Q17426180,1985-09-30,1988-10-03,Socialdemokraterna,Q105112
Q17426180,1988-10-03,1991-09-30,Socialdemokraterna,Q105112
Q1780398,1991-10-05,1994-10-03,Moderaterna,Q110843
Q1780398,1994-10-03,1998-10-05,Moderaterna,Q110843
Q1780398,1998-10-05,2000-04-30,Moderaterna,Q110843
Q1780398,2014-10-04,2018-09-24,Moderaterna,Q110843
Q1780398,2018-09-24,2022-09-26,Moderaterna,Q110843
Q1780398,2022-09-26,2022-10-18,Moderaterna,Q110843
Q1780585,1994-10-08,1998-10-05,Moderaterna,Q110843
Q1780585,1998-10-05,2001-02-28,Moderaterna,Q110843
Q1796120,1974-01-10,1974-01-10,Socialdemokraterna,Q105112
Q1796120,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q1796120,1979-10-01,1982-10-04,Socialdemokraterna,Q105112
Q1796120,1982-10-04,1982-10-08,Socialdemokraterna,Q105112
Q1796120,1985-09-30,1985-09-30,Socialdemokraterna,Q105112
Q1796120,1988-07-08,1988-10-03,Socialdemokraterna,Q105112
Q1796120,1988-10-03,1990-06-13,Socialdemokraterna,Q105112
Q18169826,2014-09-29,2018-09-24,Moderaterna,Q110843
Q18202336,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202336,2018-09-24,2018-11-24,Socialdemokraterna,Q105112
Q18202336,2019-06-01,2020-08-31,Socialdemokraterna,Q105112
Q18202336,2021-05-01,2022-09-26,Socialdemokraterna,Q105112
Q18202336,2022-09-26,,Socialdemokraterna,Q105112
Q18202338,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202338,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q18202338,2022-09-26,,Socialdemokraterna,Q105112
Q18202339,2014-09-29,2016-04-17,Socialdemokraterna,Q105112
Q18202339,2017-01-02,2018-09-24,Socialdemokraterna,Q105112
Q18202339,2018-09-24,2019-02-10,Socialdemokraterna,Q105112
Q18202339,2019-12-01,2022-09-26,Socialdemokraterna,Q105112
Q18202339,2022-09-26,,Socialdemokraterna,Q105112
Q18202340,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202340,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q18202340,2022-09-26,,Socialdemokraterna,Q105112
Q18202361,2014-09-29,2018-09-24,Moderaterna,Q110843
Q18202362,2014-09-29,2018-09-24,Moderaterna,Q110843
Q18202362,2018-09-24,2022-09-26,Moderaterna,Q110843
Q18202362,2022-09-26,2022-10-18,Moderaterna,Q110843
Q18202365,2014-09-29,2016-07-31,Moderaterna,Q110843
Q18202365,2017-02-01,2018-09-24,Moderaterna,Q110843
Q18202365,2018-09-24,2019-02-10,Moderaterna,Q110843
Q18202365,2019-09-10,2022-09-26,Moderaterna,Q110843
Q18202365,2022-09-26,,Moderaterna,Q110843
Q18202390,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202390,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q18202393,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202405,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202405,2018-11-25,2019-05-31,Socialdemokraterna,Q105112
Q18202405,2019-10-04,2019-11-03,Socialdemokraterna,Q105112
Q18202405,2020-09-01,2021-04-30,Socialdemokraterna,Q105112
Q18202407,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202407,2018-09-24,2019-02-25,Socialdemokraterna,Q105112
Q18202407,2019-12-01,2021-03-14,Socialdemokraterna,Q105112
Q18202407,2021-08-28,2022-09-26,Socialdemokraterna,Q105112
Q18202412,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202412,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q18202412,2022-09-26,,Socialdemokraterna,Q105112
Q18202413,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202413,2018-09-24,2021-11-30,Socialdemokraterna,Q105112
Q18202413,2022-09-26,2022-09-26,Socialdemokraterna,Q105112
Q18202413,2022-10-18,,Socialdemokraterna,Q105112
Q18202414,2014-09-29,2016-06-30,Socialdemokraterna,Q105112
Q18202414,2017-03-06,2018-09-24,Socialdemokraterna,Q105112
Q18202414,2018-09-24,2022-09-26,Socialdemokraterna,Q105112
Q18202414,2022-09-26,,Socialdemokraterna,Q105112
Q18202415,2014-09-29,2018-09-24,Socialdemokraterna,Q105112
Q18202415,2018-09-24,2018-10-14,Socialdemokraterna,Q105112
Q18202415,2019-08-01,2021-05-09,Socialdemokraterna,Q105112
Q18202415,2022-02-07,2022-09-26,Socialdemokraterna,Q105112
Q18202415,2022-09-26,,Socialdemokraterna,Q105112
Q182050,1994-10-03,1994-10-07,Moderaterna,Q110843
Q18237073,2014-09-29,2018-09-24,Liberalerna,Q110857
Q18237118,2014-09-29,2015-02-02,Sverigedemokraterna,Q504069
Q18237118,2015-03-11,2016-01-10,Sverigedemokraterna,Q504069
