Location, Year
Huskvarna, 1934
Hällbacken, 1934
Häste, 1934
Höjen, 1934
Hörby, 1934
Höör, 1934
Igelboda, 1934
Kalmar, 1934
Karlskrona, 1934
Karlstad, 1934
Kasenberg, 1934
Kristianstad, 1934
Kullen, 1934
Kullenbergstorp, 1934
Leabo, 1934
Lekåsa, 1934
Lerbäcksbyn, 1934
Luleå, 1934
Löbbo, 1934
Malmö, 1934
Mellerud, 1934
Mora, 1934
Munkaljungby, 1934
Munkedal, 1934
Norrköping, 1934
Ovanmyra, 1934
Prästbol, 1934
Ramsta, 1934
Rasjön, 1934
Rimforsa, 1934
Rosta, 1934
Rotebro, 1934
Rubbestad, 1934
Råstock, 1934
Sala, 1934
Sandby, 1934
Skövde, 1934
Staxäng, 1934
Steneberg, 1934
Stenstu, 1934
Stockholm, 1934
Sörsjön, 1934
Tidaholm, 1934
Toftered, 1934
Trollhättan, 1934
Trången, 1934
Tungelsta, 1934
Umeå, 1934
Undersvik, 1934
Uppmälby, 1934
Vimmerby, 1934
Vännäsby, 1934
Västerås, 1934
Örebro, 1934
Östersund, 1934
Antnäs, 1926
Arkösund, 1926
Berg, 1926
Bjuv, 1926
Bjälbo, 1926
Blädinge, 1926
Boa, 1926
Boxholm, 1926
Broaryd, 1926
Broberg, 1926
Brånalt, 1926
Bäck, 1926
Bäckland, 1926
Dals, 1926
Digernäs, 1926
Edsbyn, 1926
Edsbäcken, 1926
Erlandsro, 1926
Eskilstuna, 1926
Falkenberg, 1926
Falla, 1926
Falun, 1926
Fritorp, 1926
Furuvik, 1926
Gans, 1926
Golvvasta, 1926
Grimbo, 1926
Grängesberg, 1926
Grönvik, 1926
Gävle, 1926
Göteborg, 1926
Hallagården, 1926
Halmstad, 1926
Hov, 1926
Huskvarna, 1926
Hällbacken, 1926
Häste, 1926
Hörby, 1926
Igelboda, 1926
Kalmar, 1926
Karlskorna, 1926
Karlskrona, 1926
Kasenberg, 1926
Katrineholm, 1926
Kullen, 1926
Kullenbergstorp, 1926
Kälkebo, 1926
Köping, 1926
Lerbäcksbyn, 1926
Linköping, 1926
Malmö, 1926
Mellerud, 1926
Mölndal, 1926
Norup, 1926
Nyborg, 1926
Ovanmyra, 1926
Prästbol, 1926
Ramsta, 1926
Rasjön, 1926
Revinge, 1926
Rimforsa, 1926
Råstock, 1926
Skövde, 1926
Stockholm, 1926
Storegården, 1926
Södertälje, 1926
Trången, 1926
Tumhult, 1926
Tånga, 1926
Tönnersa, 1926
Uppmilby, 1926
Uppmälby, 1926
Vadstena, 1926
