swerik_id;surname;first_name;iort
i-VK83vrubL6BoM3coLhjSL1;Andersson;Olof;Lyckorna
i-TW2v8kvC9bB35Jx86j8aCC;Andersson;Olof;Malmö
i-TUwQBiGjxBFZspzw9pRSbP;Andersson;E Oscar;Långviksmon
i-DfhkQMzdpeNADLcfBVuyn7;Andersson;Oscar S;Torngård
i-5GK4H1j9rrxtR4J8CTxEKx;Andersson;Pehr August;Knäppinge
i-NAiEuxWuVm7FYQ13oPRTbh;Andersson;Per;Fragg
i-M1KRgYXpjzhZucy2MDj1V3;Andersson;Per;Koldemo
i-Q3rwdSjEPs6DvA6k1iNCbk;Andersson;Per E;Siggeboda
i-RiD9cWJXo5pMjp4ecwsWUa;Andersson;Per J;Torsbo
i-9QCqayEzEwDSfgWUUHHs92;Andersson;Peter;Högkil
i-KsLWk2nr6BTwdn4ZLqNxNK;Andersson;Peter Carl;Vistena
i-L8Vt8oyzSTjdWDWGruiZ5J;Andersson;Petter;Säby
i-5vT5E79dchgWLfSPT2RYSZ;Andersson;Rosa V;Strängnäs
i-DX1CPUDypMGHkS1bH65PfG;Andersson;Rosarus;Skrädene
i-UAyJ3L5corJ6gacMStrnvf;Andersson;Sven;Plöninge
i-JathMfQRzbPfjBPT9hyLnW;Andersson;Sven;Sveneby
i-7sFhzF4XyCBEam1XMECpMa;Andersson;Sven A H;Billingsfors
i-4RXtdePQij5UMYC7P4zsCe;Andersson;Sven G;Örebro
i-F8bSD7JcePAy5c3DWYPLRs;Andersson;Sven J;Vigelsbo
i-F8bSD7JcePAy5c3DWYPLRs;Andersson;Sven J;Mamre
i-ErNemW6WNsbRaNz3Q9qVQH;Andersson;Sven O M;Göteborg
i-ErNemW6WNsbRaNz3Q9qVQH;Andersson;Sven O M;Riksby
i-ErNemW6WNsbRaNz3Q9qVQH;Andersson;Sven O M;Bromma
i-ErNemW6WNsbRaNz3Q9qVQH;Andersson;Sven O M;Mariehäll
i-ErNemW6WNsbRaNz3Q9qVQH;Andersson;Sven O M;Sundbyberg
i-2SmrPgp2WQ2mrQPZdFdGHd;Andersson;Thure G;Ronneby
i-Lr6SgKhYd2CyYMfVp5ZboP;Andersson;Torsten;Brämhult
i-YSKF3k7WpjKp61GTapFZnc;Andersson;P Verner;Köpinge
i-Cm8VfczuffLedifoqtKNyc;Andersson;Wilhelm;Bråborg
i-4GWFMzTSztYCXgzSDPtTHC;Andersson;A Wilhelm;Resebo
i-S1hDhfBXq9vXtBfgz4QX6Z;Andersson;Åke;Mellanköpinge
i-Md4cSDKT7AbTr7UiRi7rkw;Andreason;J August;Nygård
i-Fgesu2cj1Ub5D7stoi6hAK;Andreasson;N Egon;Östra Ljungby
i-VuriSjpqjnNKDDMsFWMALu;Andreasson;G Olof;Göteborg
i-EruM5YB3jbpsmdyuFZNU1F;Andreasson;Pehr T;Tunge
i-UAK3AB1CjWSo8XH9S5ZhDk;Andreasson;Sven;Tollered
i-PAzAsCu4kqGDh7tDGTkdF8;Andrée;Torsten E;Lund
i-Vofu3seWF5yQe8KpMLXV3T;Andrén;Georg;Uppsala
i-Vofu3seWF5yQe8KpMLXV3T;Andrén;Georg;Lerum
i-WQNKL3mADkddnoQvgRde3o;Andrén;Ingrid M;Västerås
i-Ckf69izyjKSjoYe237pqQQ;Andrén;Josef H;Göteborg
i-HZV5H2PBrEbNREbjvh2nWq;Anér;Kerstin;Bromma
i-R7nr8W1NgHvkYbSoRF5obS;Angel;Anton W;Halmstad
i-NQUmGdiAWFG3ahyYZuibTj;Angur;Curt F;Saltsjö-Duvnäs
i-FvWE3z31Yyhos89eePxNBZ;Anjou;Christoffer L;Linköping
i-4qFN14HKgUSk7schAQ7BuV;Annér;P Wilhelm;Östersund
i-4qFN14HKgUSk7schAQ7BuV;Annér;P Wilhelm;Borås
i-CxVeiDdM1XTee9388Bhbtb;Anners;Erik G E;Uppsala
i-S3hZXCn94TB7kyJYPX7Bg8;Annerstedt;P S Ludvig;Stockholm
i-HsWM4bpkJMwFcQjYcCpgmf;Annerås;K E Arvid;Lindome
i-Fs9KpZYHZp1uu9ioJZkH5D;Antby;Sven O;Långared
i-4cGaHuXiKqW7j1jjHhKzC9;Antonsson;Anders;Malmö
i-9MFHjq6CgKrRzcV8mJqNJd;Antonsson;Johannes M;Dahla
i-FbFHwwTTGqDXgSo7gujPje;Apelqvist;Harry;Gunnebo
i-TwHRimW4qHP6qKGd2peE57;Apelstam;Anders L;Halmstad
i-GzcgHC81WecVydysZueFQ2;Appelberg;O Fredrik;Kalix
i-TUdAuBRD2QT6aWjwbkNrNd;Appeltofft;Carl Fredrik;Uddevalla
i-RTJ2sRrztP2XUZ8kQQmGL8;Arfwedson;Robert A;Åstorp
i-F7ULzRrCf8CRpTUenaxX9w;Arhusiander;Magnus;Sundsvall
i-4yvNbefMkAfh4vFHRwsamd;Arnemark;Gustaf E;Stockholm
i-U7p8oKpgei5gPacWh9BM6T;Arnoldson;K Pontus;Liljeholmen
i-LzAkAb8hM4738RATfMA7Wt;Arnoldsson;Swen;Rödeby
i-Dt5hSraH652po1YHZdhcSr;Aronson;Ernst K;Nibble
i-UhLRgE1tWfgSFkzw3urKGo;Aronsson;Anders R;Vallentuna
i-N9AjjY11HAeYEZv7pS9mmC;Arrhén;C Erik T;Herrestad
i-N9AjjY11HAeYEZv7pS9mmC;Arrhén;C Erik T;Uddevalla
i-JcqbjeL3j68iUaniGTTyRL;Arrhenius;Johan P;Stockholm
i-8kjX8VM7z6VKtmJHMfmeZb;Arvedson;Nils G;Storbrohyttan
i-8UiGNe8qttqCLGPToTS7Qb;Arweson;Bengt E M;Gothem
i-TvwitzakExjxmx7pkJknnU;Arvidson;John-Arvid;Hög
i-LkYCGoSQMPJxF5JPBfTRio;Arvidson;E Stellan Å;Stockholm
i-3sN9DMuKUv4qbPVAGpgpoG;Arwidsson;Hugo I;Stockholm
i-EEr67QoAWMXbtnP8GE84pL;Asker;Axel;Halmstad
i-A6HKJELS9dEVb676FNQ5tp;Asker;G Ferdinand;Gävle
i-4Cx4dJwPinjKGZyEZjBPZM;Asklöf;Isaac J;Hageby
i-GM1k7EHRipg9AKbMRUTHAd;Asp;P Einar;Kilafors
i-D3DqCCyeLe2A7LE3SiSJFk;Aspelin;Christian H T;Fagersta
i-6yryP5FsumcdXgD5cb8aDF;Aspling;Sven G;Sundbyberg
i-RULRtbbfsrJBLYbatB6uqb;Asplund;J Gustaf;Östersund
i-GWCWCEFyM4JFjgRacrhwXe;Asplund;C I Manne;Kiruna
i-GWCWCEFyM4JFjgRacrhwXe;Asplund;C I Manne;Luleå
i-CnQeUq7JY18PNz1pmhSkpr;Assarsson;Christen;Rönneberga
i-LUCA83PosZ3UWJrbWWowr5;Augustsson;J A Gillis;Boxholm
i-R5WNXD7LF7GBdQbyGv6979;Aulin;J Adolf;Eskilstuna
i-NUgmBnxewWGjYZiMZQ7x8H;Axell;J Severin;Sundsvall
i-NSnsgBLSVBPDzeSD4qfYMP;Axelson;Anders E W;Fagerås
i-G8yQZH3fj2CfZcd2neBLi1;Baaz;A Emil;Åby
i-UAGJdGQwTr2ZTbgDhxZRQM;Back;Johannes;Råsunda
i-EWWEEcJPPJTTcYmFWvx2F6;Baeckman;Oscar H;Stockholm
i-6XKyPYJqY3yX696VFDad8s;Bæckström;Axel F;Kågedalen
i-F8oXMDVWmvzk7gi1D88cYJ;Bæckström;Frans E A;Örebro
i-F8oXMDVWmvzk7gi1D88cYJ;Bæckström;Frans E A;Grytsäter
i-GfysFhkQarNccZNb2V5fjT;Bager;Johan Peter;Malmö
i-CU4eSFiFKKx8yk9jS92iFV;Bagge;Gösta A:son;Stockholm
