wiki_id,author,date,subject,title,url
Q107065660,http://www.wikidata.org/entity/Q4724776,2021-04-28,Arbetsförmedlingen,Reformeringen av Arbetsförmedlingen,http://data.riksdagen.se/dokumentstatus/H810687
Q107065660,http://www.wikidata.org/entity/Q4724776,2021-04-28,Arbetsförmedlingen,Reformeringen av Arbetsförmedlingen,http://data.riksdagen.se/fil/13DA38F1-3212-4DB0-9906-7BCFCE1F9A77
Q107065671,http://www.wikidata.org/entity/Q71455806,2021-04-27,kollektivtrafik,Trängselskatt och smittspridning i kollektivtrafiken,http://data.riksdagen.se/dokument/H810684
Q107065671,http://www.wikidata.org/entity/Q71455806,2021-04-27,kollektivtrafik,Trängselskatt och smittspridning i kollektivtrafiken,http://data.riksdagen.se/dokumentstatus/H810684
Q107065671,http://www.wikidata.org/entity/Q71455806,2021-04-27,kollektivtrafik,Trängselskatt och smittspridning i kollektivtrafiken,http://data.riksdagen.se/fil/0F30F51B-DDCA-4B76-9636-DA29F49AB78E
Q107065677,http://www.wikidata.org/entity/Q6255521,2021-04-25,Trafikverket,Trafikverkets översyn av begreppet riksintresse,http://data.riksdagen.se/dokument/H810675
Q107065677,http://www.wikidata.org/entity/Q6255521,2021-04-25,Trafikverket,Trafikverkets översyn av begreppet riksintresse,http://data.riksdagen.se/dokumentstatus/H810675
Q107065677,http://www.wikidata.org/entity/Q6255521,2021-04-25,Trafikverket,Trafikverkets översyn av begreppet riksintresse,http://data.riksdagen.se/fil/975339A5-F197-4219-B68B-509275F591E0
Q107065686,http://www.wikidata.org/entity/Q3675519,2021-04-22,Q485100,Åtgärder mot analfabetismen i Sverige,http://data.riksdagen.se/dokument/H810669
Q107065686,http://www.wikidata.org/entity/Q3675519,2021-04-22,Q485100,Åtgärder mot analfabetismen i Sverige,http://data.riksdagen.se/dokumentstatus/H810669
Q107065686,http://www.wikidata.org/entity/Q3675519,2021-04-22,Q485100,Åtgärder mot analfabetismen i Sverige,http://data.riksdagen.se/fil/BECD345A-A543-4D1D-8427-5C0B9802252B
Q107065702,http://www.wikidata.org/entity/Q18243097,2021-04-15,Turkiet,Turkiets utträde ur Europarådets konvention mot våld mot kvinnor,http://data.riksdagen.se/dokument/H810651
Q107065702,http://www.wikidata.org/entity/Q18243097,2021-04-15,Turkiet,Turkiets utträde ur Europarådets konvention mot våld mot kvinnor,http://data.riksdagen.se/dokumentstatus/H810651
Q107065702,http://www.wikidata.org/entity/Q18243097,2021-04-15,Turkiet,Turkiets utträde ur Europarådets konvention mot våld mot kvinnor,http://data.riksdagen.se/fil/F3D1856D-D441-4BBF-A894-819A6AB6B59E
Q107065715,http://www.wikidata.org/entity/Q6240455,2021-04-13,Identitetspolitik,Identitetspolitisk diskriminering,http://data.riksdagen.se/dokument/H810641
Q107065715,http://www.wikidata.org/entity/Q6240455,2021-04-13,Identitetspolitik,Identitetspolitisk diskriminering,http://data.riksdagen.se/dokumentstatus/H810641
Q107065715,http://www.wikidata.org/entity/Q6240455,2021-04-13,Identitetspolitik,Identitetspolitisk diskriminering,http://data.riksdagen.se/fil/149CCC09-7FB4-46EF-AD6C-14F824A250DA
Q107065715,http://www.wikidata.org/entity/Q6240455,2021-04-13,diskriminering,Identitetspolitisk diskriminering,http://data.riksdagen.se/dokument/H810641
Q107065715,http://www.wikidata.org/entity/Q6240455,2021-04-13,diskriminering,Identitetspolitisk diskriminering,http://data.riksdagen.se/dokumentstatus/H810641
Q107065715,http://www.wikidata.org/entity/Q6240455,2021-04-13,diskriminering,Identitetspolitisk diskriminering,http://data.riksdagen.se/fil/149CCC09-7FB4-46EF-AD6C-14F824A250DA
Q107065721,http://www.wikidata.org/entity/Q4919772,2021-04-11,kärnvapen,Observatörskap i FN:s konvention mot kärnvapen,http://data.riksdagen.se/dokument/H810636
Q107065721,http://www.wikidata.org/entity/Q4919772,2021-04-11,kärnvapen,Observatörskap i FN:s konvention mot kärnvapen,http://data.riksdagen.se/dokumentstatus/H810636
Q107065721,http://www.wikidata.org/entity/Q4919772,2021-04-11,kärnvapen,Observatörskap i FN:s konvention mot kärnvapen,http://data.riksdagen.se/fil/73AB987B-8F61-4094-AF6E-0D564C65C884
Q107065732,http://www.wikidata.org/entity/Q71055616,2021-04-07,Åklagarmyndigheten,Kompetensen inom Åklagarmyndigheten,http://data.riksdagen.se/dokument/H810626
Q107065732,http://www.wikidata.org/entity/Q71055616,2021-04-07,Åklagarmyndigheten,Kompetensen inom Åklagarmyndigheten,http://data.riksdagen.se/dokumentstatus/H810626
Q107065732,http://www.wikidata.org/entity/Q71055616,2021-04-07,Åklagarmyndigheten,Kompetensen inom Åklagarmyndigheten,http://data.riksdagen.se/fil/FC118B45-2A1D-4A12-836F-DAFC29EAE84F
Q107065745,http://www.wikidata.org/entity/Q5807932,2021-03-31,kärnkraft,Sommarens revision av kärnkraften,http://data.riksdagen.se/dokument/H810616
Q107065745,http://www.wikidata.org/entity/Q5807932,2021-03-31,kärnkraft,Sommarens revision av kärnkraften,http://data.riksdagen.se/dokumentstatus/H810616
