,name,title,start,end,id,specifier
553,Ulla Lindström,Konsument- och biståndsminister,1954-06-04,1957-10-31,ulla_lindström_minister_1954,
554,Hjalmar Nilson,Vägminister,1951-10-01,1957-02-01,hjalmar_nilson_minister_1951,
555,Lars Eliasson,Vägminister,1957-02-01,1957-10-31,lars_eliasson_minister_1957,
556,Hjalmar Branting,Statsminister,1924-10-14,1925-01-24,hjalmar_branting_minister_1924,
557,Östen Undén,Utrikesminister,1924-10-14,1925-01-24,östen_undén_minister_1924,
558,Torsten Nothin,Justitieminister,1924-10-14,1925-01-24,torsten_nothin_minister_1924,
559,Per Albin Hansson,Försvarsminister,1924-10-14,1925-01-24,per_albin_hansson_minister_1924,
560,Gustav Möller,Socialminister,1924-10-14,1925-01-24,gustav_möller_minister_1924,
561,Viktor Larsson,Kommunikationsminister,1924-10-14,1925-01-24,viktor_larsson_minister_1924,
562,Fredrik Vilhelm Thorsson,Finansminister,1924-10-14,1925-01-24,fredrik_vilhelm_thorsson_minister_1924,
563,Olof Olsson,Ecklesiastikminister,1924-10-14,1925-01-24,olof_olsson_minister_1924,
564,Sven Linders,Jordbruksminister,1924-10-14,1925-01-24,sven_linders_minister_1924,
565,Rickard Sandler,Handelsminister,1924-10-14,1925-01-24,rickard_sandler_minister_1924,
566,Ernst Wigforss,Konsultativt statsråd,1924-10-14,1925-01-24,ernst_wigforss_minister_1924,
567,Karl Levinson,Konsultativt statsråd,1924-10-14,1925-01-24,karl_levinson_minister_1924,
568,Nils Edén,Statsminister,1917-10-19,1920-03-10,nils_edén_minister_1917,
569,Eliel Löfgren,Justitieminister,1917-10-19,1920-03-10,eliel_löfgren_minister_1917,
570,Johannes Hellner,Utrikesminister,1917-10-19,1920-03-10,johannes_hellner_minister_1917,
571,Erik Nilson,Krigsminister,1917-10-19,1920-03-10,erik_nilson_minister_1917,
572,Erik Palmstierna,Sjöminister,1917-10-19,1920-03-10,erik_palmstierna_minister_1917,
573,Hjalmar Branting,Finansminister,1917-10-19,1918-01-05,hjalmar_branting_minister_1917,
574,Fredrik Vilhelm Thorsson,Finansminister,1918-01-05,1920-06-30,fredrik_vilhelm_thorsson_minister_1918,
575,Värner Rydén,Ecklesiastikminister,1917-10-19,1919-11-28,värner_rydén_minister_1917,
576,Olof Olsson,Ecklesiastikminister,1919-11-28,1920-10-27,olof_olsson_minister_1919,
577,Alfred Petersson,Jordbruksminister,1917-10-19,1920-03-10,alfred_petersson_minister_1917,
578,Axel Schotte,Civilminister,1917-10-19,1919-11-28,axel_schotte_minister_1917,
579,Fredrik Holmquist,Civilminister,1919-11-28,1920-03-10,fredrik_holmquist_minister_1919,
580,Bror Petrén,Konsultativa statsråd,1917-10-19,1920-03-10,bror_petrén_minister_1917,
581,Östen Undén,Konsultativa statsråd,1917-10-19,1920-03-10,östen_undén_minister_1917,
582,Olof Palme,Statsminister,1982-01-01,1986-01-01,olof_palme_minister_1982,
583,Ingvar Carlsson,Vice statsminister,1982-01-01,1986-01-01,ingvar_carlsson_minister_1982,
584,Ingvar Carlsson,Miljöminister,1985-01-01,1986-01-01,ingvar_carlsson_minister_1985,
585,Ove Rainer,Justitieminister,1982-01-01,1983-01-01,ove_rainer_minister_1982,
586,Sten Wickbom,Justitieminister,1983-01-01,1986-01-01,sten_wickbom_minister_1983,
587,Lennart Bodström,Utrikesminister,1982-01-01,1985-01-01,lennart_bodström_minister_1982,
588,Sten Andersson,Utrikesminister,1985-01-01,1986-01-01,sten_andersson_minister_1985,
589,Lennart Bodström,Biståndsminister,1982-01-01,1985-01-01,lennart_bodström_minister_1982,
590,Lena Hjelm-Wallén,Biståndsminister,1985-01-01,1986-01-01,lena_hjelm-wallén_minister_1985,
591,Mats Hellström,Utrikeshandelsminister,1983-01-01,1986-01-01,mats_hellström_minister_1983,
592,Börje Andersson,Försvarsminister,1982-01-01,1982-01-01,börje_andersson_minister_1982,
593,Curt Boström,Försvarsminister,1982-01-01,1983-01-01,curt_boström_minister_1982,
594,Anders Thunborg,Försvarsminister,1983-01-01,1985-01-01,anders_thunborg_minister_1983,
595,Roine Carlsson,Försvarsminister,1985-01-01,1986-01-01,roine_carlsson_minister_1985,
596,Sten Andersson,Socialminister,1982-01-01,1985-01-01,sten_andersson_minister_1982,
597,Gertrud Sigurdsen,Socialminister,1985-01-01,1986-01-01,gertrud_sigurdsen_minister_1985,
598,Gertrud Sigurdsen,Hälsovårdsminister,1982-01-01,1985-01-01,gertrud_sigurdsen_minister_1982,
599,Bengt Lindqvist,Familje- och handikappminister,1985-01-01,1986-01-01,bengt_lindqvist_minister_1985,
600,Kjell-Olof Feldt,Ekonomi- och budgetminister,1982-01-01,1982-01-01,kjell-olof_feldt_minister_1982,
601,Kjell-Olof Feldt,Finansminister,1983-01-01,1986-01-01,kjell-olof_feldt_minister_1983,
602,Bengt KÅ Johansson,Löne- och konsumentminister,1985-01-01,1986-01-01,bengt_kå_johansson_minister_1985,
603,Lena Hjelm-Wallén,Utbildningsminister,1982-01-01,1985-01-01,lena_hjelm-wallén_minister_1982,
604,Lennart Bodström,Utbildningsminister,1985-01-01,1986-01-01,lennart_bodström_minister_1985,
605,Bengt Göransson,Skol- och kulturminister,1982-01-01,1986-01-01,bengt_göransson_minister_1982,
606,Svante Lundkvist,Jordbruksminister och  minister för nordiskt samarbete,1982-01-01,1986-01-01,svante_lundkvist_minister_1982,
607,Thage G Peterson,Industriminister,1982-01-01,1986-01-01,thage_g_peterson_minister_1982,
608,Roine Carlsson,Biträdande industriminister,1982-01-01,1985-01-01,roine_carlsson_minister_1982,
609,Birgitta Dahl,Energiminister,1982-01-01,1986-01-01,birgitta_dahl_minister_1982,
610,Hans Gustafsson,Bostadsminister,1982-01-01,1986-01-01,hans_gustafsson_minister_1982,
611,Anna-Greta Leijon,Arbetsmarknadsminister,1982-01-01,1986-01-01,anna-greta_leijon_minister_1982,
612,Anita Gradin,Invandrar- och jämställdhetsminister,1982-01-01,1986-01-01,anita_gradin_minister_1982,
613,Curt Boström,Kommunikationsminister,1982-01-01,1985-01-01,curt_boström_minister_1982,
614,Sven Hulterström,Kommunikationsminister,1985-01-01,1986-01-01,sven_hulterström_minister_1985,
615,Bo Holmberg,Kommun- och kyrkominister,1982-01-01,1982-01-01,bo_holmberg_minister_1982,
616,Bo Holmberg,Civil- och kyrkominister,1983-01-01,1986-01-01,bo_holmberg_minister_1983,
617,Lennart Bodström,Handelsminister,1982-01-01,1982-01-01,lennart_bodström_minister_1982,
618,Felix Hamrin,Statsminister,1932-08-06,1932-09-24,felix_hamrin_minister_1932,
619,Fredrik Ramel,Utrikesminister,1932-08-06,1932-09-24,fredrik_ramel_minister_1932,
620,Natanael Gärde,Justitieminister,1932-08-06,1932-09-24,natanael_gärde_minister_1932,
621,Anton Rundqvist,Försvarsminister,1932-08-06,1932-09-24,anton_rundqvist_minister_1932,
622,Sam Larsson,Socialminister,1932-08-06,1932-09-24,sam_larsson_minister_1932,
623,Ola Jeppsson,Kommunikationsminister,1932-08-06,1932-09-24,ola_jeppsson_minister_1932,
624,Felix Hamrin,Finansminister,1932-08-06,1932-09-24,felix_hamrin_minister_1932,
625,Sam Stadener,Ecklesiastikminister,1932-08-06,1932-09-24,sam_stadener_minister_1932,
626,Bo von Stockenström,Jordbruksminister,1932-08-06,1932-09-24,bo_von_stockenström_minister_1932,
627,David Hansén,Handelsminister,1932-08-06,1932-09-24,david_hansén_minister_1932,
628,Ragnar Gyllenswärd,Konsultativt statsråd,1932-08-06,1932-09-24,ragnar_gyllenswärd_minister_1932,
629,Åke Holmbäck,Konsultativt statsråd,1932-08-06,1932-09-24,åke_holmbäck_minister_1932,
630,Torsten Petersson,Konsultativt statsråd,1932-08-06,1932-09-24,torsten_petersson_minister_1932,
631,Axel Pehrsson-Bramstorp,Statsminister,1936-06-19,1936-09-28,axel_pehrsson-bramstorp_minister_1936,
632,Karl Gustaf Westman,Utrikesminister,1936-06-19,1936-09-28,karl_gustaf_westman_minister_1936,
633,Thorwald Bergquist,Justitieminister,1936-06-19,1936-09-28,thorwald_bergquist_minister_1936,
634,Janne Nilsson,Försvarsminister,1936-06-19,1936-09-28,janne_nilsson_minister_1936,
635,Gerhard Strindlund,Socialminister,1936-06-19,1936-09-28,gerhard_strindlund_minister_1936,
636,Arthur Heiding,Kommunikationsminister,1936-06-19,1936-09-28,arthur_heiding_minister_1936,
637,Vilmar Ljungdahl,Finansminister,1936-06-19,1936-09-28,vilmar_ljungdahl_minister_1936,
638,Tor Andræ,Ecklesiastikminister,1936-06-19,1936-09-28,tor_andræ_minister_1936,
639,Axel Pehrsson-Bramstorp,Jordbruksminister,1936-06-19,1936-09-28,axel_pehrsson-bramstorp_minister_1936,
640,Elof Ericsson,Handelsminister,1936-06-19,1936-09-28,elof_ericsson_minister_1936,
641,Nils Quensel,Konsultativt statsråd,1936-06-19,1936-09-28,nils_quensel_minister_1936,
642,Sture Centerwall,Konsultativt statsråd,1936-06-19,1936-09-28,sture_centerwall_minister_1936,
643,Tage Gynnerstedt,Konsultativt statsråd,1936-06-19,1936-09-28,tage_gynnerstedt_minister_1936,
644,Per Albin Hansson,Statsminister,1936-09-28,1939-12-13,per_albin_hansson_minister_1936,
645,Ernst Wigforss,Finansminister,1936-09-28,1939-12-13,ernst_wigforss_minister_1936,
646,Rickard Sandler,Utrikesminister,1936-09-28,1939-12-13,rickard_sandler_minister_1936,
647,Karl Gustaf Westman,Justitieminister,1936-09-28,1939-12-13,karl_gustaf_westman_minister_1936,
648,Janne Nilsson,Försvarsminister,1936-09-28,1938-12-09,janne_nilsson_minister_1936,
649,Per Edvin Sköld,Försvarsminister,1938-12-16,1939-12-13,per_edvin_sköld_minister_1938,
650,Gustav Möller,Socialminister,1936-09-28,1938-12-16,gustav_möller_minister_1936,
651,Albert Forslund,Socialminister,1938-12-16,1939-12-13,albert_forslund_minister_1938,
652,Albert Forslund,Kommunikationsminister,1936-09-28,1938-12-16,albert_forslund_minister_1936,
653,Gerhard Strindlund,Kommunikationsminister,1938-12-16,1939-12-13,gerhard_strindlund_minister_1938,
654,Arthur Engberg,Ecklesiastikminister,1936-09-28,1939-12-13,arthur_engberg_minister_1936,
655,Axel Pehrsson-Bramstorp,Jordbruksminister,1936-09-28,1939-12-13,axel_pehrsson-bramstorp_minister_1936,
656,Per Edvin Sköld,Handelsminister,1936-09-28,1938-12-16,per_edvin_sköld_minister_1936,
657,Gustav Möller,Handelsminister,1938-12-16,1939-12-13,gustav_möller_minister_1938,
658,Herman Eriksson,Folkhushållningsminister,1939-10-15,1939-12-13,herman_eriksson_minister_1939,
659,Nils Quensel,Juristkonsult,1936-09-28,1939-12-13,nils_quensel_minister_1936,
660,Karl Levinson,Juristkonsult,1936-09-28,1938-08-31,karl_levinson_minister_1936,
661,Herman Eriksson,Juristkonsult,1938-08-31,1939-10-14,herman_eriksson_minister_1938,
662,Gunnar Hägglöf,Juristkonsult,1939-10-14,1939-12-13,gunnar_hägglöf_minister_1939,
663,Thorbjörn Fälldin,Statsminister,1981-05-22,1982-10-08,thorbjörn_fälldin_minister_1981,
664,Carl Axel Petri,Justitieminister,1981-05-22,1982-10-08,carl_axel_petri_minister_1981,
665,Ola Ullsten,Utrikes- och biståndsminister samt vice statsminister,1981-05-22,1982-10-08,ola_ullsten_minister_1981,
666,Torsten Gustafsson,Försvarsminister,1981-05-22,1982-10-08,torsten_gustafsson_minister_1981,
667,Karin Söder,Socialminister,1981-05-22,1982-10-08,karin_söder_minister_1981,
668,Karin Ahrland,Sjukvårdsminister,1981-05-22,1982-10-08,karin_ahrland_minister_1981,
669,Claes Elmstedt,Kommunikationsminister,1981-05-22,1982-10-08,claes_elmstedt_minister_1981,
670,Rolf Wirtén,Budgetminister,1981-05-22,1982-10-08,rolf_wirtén_minister_1981,
671,Olof Johansson,Personal- och löneminister,1981-05-22,1982-10-08,olof_johansson_minister_1981,
672,Rolf Wirtén,Ekonomiminister,1981-05-22,1982-10-08,rolf_wirtén_minister_1981,
673,Jan-Erik Wikström,Utbildningsminister,1981-05-22,1982-10-08,jan-erik_wikström_minister_1981,
674,Ulla Tillander,Skol- och ungdomsminister,1981-05-22,1982-10-08,ulla_tillander_minister_1981,
675,Anders Dahlgren,Jordbruksminister,1981-05-22,1982-10-04,anders_dahlgren_minister_1981,
676,Claes Elmstedt,Jordbruksminister,1982-10-04,1982-10-08,claes_elmstedt_minister_1982,
677,Björn Molin,Handelsminister och  minister för nordiskt samarbete,1981-05-22,1982-10-08,björn_molin_minister_1981,
678,Ingemar Eliasson,Arbetsmarknads- och energiminister,1981-05-22,1982-10-08,ingemar_eliasson_minister_1981,
679,Karin Andersson,Invandrar- och jämställdhetsminister,1981-05-22,1982-10-08,karin_andersson_minister_1981,
680,Birgit Friggebo,Bostadsminister,1981-05-22,1982-10-08,birgit_friggebo_minister_1981,
681,Nils G Åsling,Industriminister,1981-05-22,1982-10-08,nils_g_åsling_minister_1981,
682,Karl Boo,Kommun- och kyrkominister,1981-05-22,1982-10-08,karl_boo_minister_1981,
683,Fredrik Reinfeldt,Statsminister,2006-10-06,2014-10-03,fredrik_reinfeldt_minister_2006,
684,Cecilia Malmström,EU-minister,2006-10-06,2010-01-22,cecilia_malmström_minister_2006,
685,Birgitta Ohlsson,EU-minister,2010-02-02,2014-10-03,birgitta_ohlsson_minister_2010,
686,Birgitta Ohlsson,Demokrati- och konsumentminister,2010-10-05,2014-10-03,birgitta_ohlsson_minister_2010,
687,Beatrice Ask,Justitieminister,2006-10-06,2014-10-03,beatrice_ask_minister_2006,
688,Tobias Billström,Migrationsminister,2006-10-06,2014-09-28,tobias_billström_minister_2006,
689,Carl Bildt,Utrikesminister,2006-10-06,2014-10-03,carl_bildt_minister_2006,
690,Gunilla Carlsson,Biståndsminister,2006-10-06,2013-09-17,gunilla_carlsson_minister_2006,
691,Hillevi Engström,Biståndsminister,2013-09-17,2014-10-03,hillevi_engström_minister_2013,
692,Maria Borelius,Handelsminister,2006-10-06,2006-10-14,maria_borelius_minister_2006,
693,Sten Tolgfors,Handelsminister,2006-10-24,2007-09-05,sten_tolgfors_minister_2006,
694,Ewa Björling,Handelsminister,2007-09-12,2014-10-03,ewa_björling_minister_2007,
695,Ewa Björling,Minister för nordiskt samarbete,2010-10-05,2014-10-03,ewa_björling_minister_2010,
696,Mikael Odenberg,Försvarsminister,2006-10-06,2007-09-05,mikael_odenberg_minister_2006,
697,Sten Tolgfors,Försvarsminister,2007-09-05,2012-03-29,sten_tolgfors_minister_2007,
698,Karin Enström,Försvarsminister,2012-04-18,2014-10-03,karin_enström_minister_2012,
699,Göran Hägglund,Socialminister,2006-10-06,2014-10-03,göran_hägglund_minister_2006,
700,Maria Larsson,Äldre- och folkhälsominister,2006-10-06,2010-10-05,maria_larsson_minister_2006,
701,Maria Larsson,Barn- och äldreminister,2010-10-05,2014-10-03,maria_larsson_minister_2010,
702,Stefan Attefall,Civil- samfunds-  och bostadsminister,2010-10-05,2014-10-03,stefan_attefall_minister_2010,
703,Cristina Husmark Pehrsson,Socialförsäkringsminister och minister för nordiskt samarbete,2006-10-06,2010-10-05,cristina_husmark_pehrsson_minister_2006,
704,Ulf Kristersson,Socialförsäkringsminister,2010-10-05,2014-10-03,ulf_kristersson_minister_2010,
705,Anders Borg,Finansminister,2006-10-06,2014-10-03,anders_borg_minister_2006,
706,Mats Odell,Kommun- bostads-  och finansmarknadsminister,2006-10-06,2010-10-05,mats_odell_minister_2006,
707,Peter Norman,Finansmarknadsminister,2010-10-05,2014-10-03,peter_norman_minister_2010,
708,Lars Leijonborg,Utbildningsminister,2006-10-06,2007-09-12,lars_leijonborg_minister_2006,
709,Jan Björklund,Utbildningsminister,2007-09-12,2014-10-03,jan_björklund_minister_2007,
710,Jan Björklund,Skolminister,2006-10-06,2007-09-12,jan_björklund_minister_2006,
711,Lars Leijonborg,Högskole- och forskningsminister,2007-09-12,2009-06-17,lars_leijonborg_minister_2007,
712,Tobias Krantz,Högskole- och forskningsminister,2009-06-17,2010-10-05,tobias_krantz_minister_2009,
713,Jan Björklund,Högskole- och forskningsminister samt vice statsminister,2010-10-05,2014-10-03,jan_björklund_minister_2010,
714,Nyamko Sabuni,Jämställdhets- och ungdomsministersamt biträdande utbildningsminister n ,2010-10-05,2013-01-21,nyamko_sabuni_minister_2010,
715,Maria Arnholm,Jämställdhets- och ungdomsministersamt biträdande utbildningsminister n ,2013-01-21,2014-10-03,maria_arnholm_minister_2013,
716,Eskil Erlandsson,Jordbruksministern ,2006-10-06,2010-10-05,eskil_erlandsson_minister_2006,
717,Eskil Erlandsson,Landsbygdsministern ,2010-10-05,2014-10-03,eskil_erlandsson_minister_2010,
718,Andreas Carlgren,Miljöminister,2006-10-06,2011-09-29,andreas_carlgren_minister_2006,
719,Lena Ek,Miljöminister,2011-09-29,2014-10-03,lena_ek_minister_2011,
720,Maud Olofsson,Näringsminister,2006-10-06,2011-09-29,maud_olofsson_minister_2006,
721,Annie Lööf,Näringsminister,2011-09-29,2014-10-03,annie_lööf_minister_2011,
722,Maud Olofsson,Energiminister,2006-10-06,2011-09-29,maud_olofsson_minister_2006,
723,Anna-Karin Hatt,Energiminister,2011-09-29,2014-10-03,anna-karin_hatt_minister_2011,
724,Åsa Torstensson,Infrastrukturminister,2006-10-06,2010-10-05,åsa_torstensson_minister_2006,
725,Catharina Elmsäter-Svärd,Infrastrukturminister,2010-10-05,2014-10-03,catharina_elmsäter-svärd_minister_2010,
726,Anna-Karin Hatt,IT-minister,2010-10-05,2014-10-03,anna-karin_hatt_minister_2010,
727,Anna-Karin Hatt,Regionminister,2010-10-05,2011-09-29,anna-karin_hatt_minister_2010,
728,Annie Lööf,Regionminister,2011-09-29,2014-10-03,annie_lööf_minister_2011,
729,Maud Olofsson,Vice statsminister,2006-10-06,2010-10-05,maud_olofsson_minister_2006,
730,Nyamko Sabuni,Integrations- jämställdhets- demokrati- ungdoms- och konsumentminister,2006-10-06,2010-10-05,nyamko_sabuni_minister_2006,
731,Cecilia Stegö Chilò,Kultur- och idrottsminister,2006-10-06,2006-10-16,cecilia_stegö_chilò_minister_2006,
732,Lena Adelsohn Liljeroth,Kultur- och idrottsminister,2006-10-24,2014-10-03,lena_adelsohn_liljeroth_minister_2006,
733,Cecilia Stegö Chilò,Samfundsminister,2006-10-06,2006-10-16,cecilia_stegö_chilò_minister_2006,
734,Lena Adelsohn Liljeroth,Samfundsminister,2006-10-24,2010-10-05,lena_adelsohn_liljeroth_minister_2006,
735,Sven Otto Littorin,Arbetsmarknadsminister,2006-10-06,2010-07-07,sven_otto_littorin_minister_2006,
736,Tobias Billström,Arbetsmarknadsminister,2010-07-07,2010-10-05,tobias_billström_minister_2010,
737,Hillevi Engström,Arbetsmarknadsminister,2010-10-05,2013-09-17,hillevi_engström_minister_2010,
738,Elisabeth Svantesson,Arbetsmarknadsminister,2013-09-17,2014-10-03,elisabeth_svantesson_minister_2013,
739,Erik Ullenhag,Integrationsminister,2010-10-05,2014-10-03,erik_ullenhag_minister_2010,
740,Tage Erlander,Statsminister,1946-10-11,1951-10-01,tage_erlander_minister_1946,
741,Östen Undén,Utrikesminister,1946-10-11,1951-10-01,östen_undén_minister_1946,
742,Herman Zetterberg,Justitieminister,1946-10-11,1951-10-01,herman_zetterberg_minister_1946,
743,Allan Vougt,Försvarsminister,1946-10-11,1951-10-01,allan_vougt_minister_1946,
744,Gustav Möller,Socialminister,1946-10-11,1951-10-01,gustav_möller_minister_1946,
745,Torsten Nilsson,Kommunikationsminister,1946-10-11,1951-10-01,torsten_nilsson_minister_1946,
746,Ernst Wigforss,Finansminister,1946-10-11,1949-06-30,ernst_wigforss_minister_1946,
747,David Hall,Finansminister,1949-07-01,1949-10-17,david_hall_minister_1949,
748,Per Edvin Sköld,Finansminister,1949-10-21,1951-10-01,per_edvin_sköld_minister_1949,
749,Josef Weijne,Ecklesiastikminister,1946-10-11,1951-03-08,josef_weijne_minister_1946,
750,Hildur Nygren,Ecklesiastikminister,1951-03-17,1951-10-01,hildur_nygren_minister_1951,
751,Per Edvin Sköld,Jordbruksminister,1946-10-11,1948-10-29,per_edvin_sköld_minister_1946,
752,Gunnar Sträng,Jordbruksminister,1948-10-29,1951-10-01,gunnar_sträng_minister_1948,
753,Gunnar Myrdal,Handelsminister,1946-10-11,1947-04-11,gunnar_myrdal_minister_1946,
754,Axel Gjöres,Handelsminister,1947-04-11,1948-09-24,axel_gjöres_minister_1947,
755,John Ericsson,Handelsminister,1948-09-24,1951-10-01,john_ericsson_minister_1948, i Kinna
756,Axel Gjöres,Folkhushållningsminister,1946-10-11,1947-04-11,axel_gjöres_minister_1946,
757,Gunnar Sträng,Folkhushållningsminister,1947-04-11,1948-10-29,gunnar_sträng_minister_1947,
758,Karin Kock-Lindberg,Folkhushållningsminister,1948-10-29,1949-12-31,karin_kock-lindberg_minister_1948,
759,John Ericsson,Folkhushållningsminister,1950-01-01,1950-06-30,john_ericsson_minister_1950, i Kinna
760,Eije Mossberg,Inrikesminister,1947-07-01,1951-10-01,eije_mossberg_minister_1947,
761,John Lingman,Civilminister,1950-07-01,1951-10-01,john_lingman_minister_1950,
762,Gunnar Danielson,Juristkonsult,1946-10-11,1951-10-01,gunnar_danielson_minister_1946,
763,Nils Quensel,Juristkonsult och kyrkominister,1946-10-11,1951-10-01,nils_quensel_minister_1946,
764,John Ericsson,Bränsleminister,1946-10-11,1948-10-28,john_ericsson_minister_1946, i Kinna
765,Eije Mossberg,Bitr socialminister,1946-10-11,1947-07-01,eije_mossberg_minister_1946,
766,Gunnar Sträng,Bitr jordbruksminister,1946-10-11,1947-04-11,gunnar_sträng_minister_1946,
767,Karin Kock-Lindberg,Ekonomiska frågor,1947-04-11,1948-10-28,karin_kock-lindberg_minister_1947,
768,Sven Andersson,Ekonomiska frågor,1948-10-28,1951-10-01,sven_andersson_minister_1948,
769,Per Edvin Sköld,Ekonomisk samordningsminister,1948-10-28,1949-10-21,per_edvin_sköld_minister_1948,
770,John Lingman,Löneminister,1950-01-04,1950-07-01,john_lingman_minister_1950,
771,Dag Hammarskjöld,Utrikeshandelsminister,1951-02-06,1951-10-01,dag_hammarskjöld_minister_1951,
772,Olof Palme,Statsminister,1969-10-14,1976-10-08,olof_palme_minister_1969,
773,Carl Lidbom,Samordningsminister,1975-01-01,1975-11-01,carl_lidbom_minister_1975,
774,Thage G Peterson,Samordningsminister,1975-11-01,1976-10-08,thage_g_peterson_minister_1975,
775,Lennart Geijer,Justitieminister,1969-10-14,1976-10-08,lennart_geijer_minister_1969,
776,Torsten Nilsson,Utrikesminister,1969-10-14,1971-06-30,torsten_nilsson_minister_1969,
777,Krister Wickman,Utrikesminister,1971-06-30,1973-11-03,krister_wickman_minister_1971,
778,Sven Andersson,Utrikesminister,1973-11-03,1976-10-08,sven_andersson_minister_1973,
779,Gertrud Sigurdsen,Biståndsminister,1973-11-03,1976-10-08,gertrud_sigurdsen_minister_1973,
780,Alva Myrdal,Nedrustnings- och kyrkominister,1969-10-14,1973-11-03,alva_myrdal_minister_1969,
781,Sven Andersson,Försvarsminister,1969-10-14,1973-11-03,sven_andersson_minister_1969,
782,Eric Holmqvist,Försvarsminister,1973-11-03,1976-10-08,eric_holmqvist_minister_1973,
783,Sven Aspling,Socialminister,1969-10-14,1976-10-08,sven_aspling_minister_1969,
784,Camilla Odhnoff,Familje- ungdoms- och invandrarminister,1969-10-14,1973-11-03,camilla_odhnoff_minister_1969,
785,Bengt Norling,Kommunikationsminister,1969-10-14,1976-10-08,bengt_norling_minister_1969,
786,Gunnar Sträng,Finansminister,1969-10-14,1976-10-08,gunnar_sträng_minister_1969,
787,Bertil Löfberg,Löneminister,1969-10-14,1975-11-01,bertil_löfberg_minister_1969,
788,Kjell-Olof Feldt,Löneminister och minister för nordiskt samarbete,1975-11-01,1976-10-08,kjell-olof_feldt_minister_1975,
789,Ingvar Carlsson,Utbildningsminister,1969-10-14,1973-11-03,ingvar_carlsson_minister_1969,
790,Bertil Zachrisson,Utbildningsminister,1973-11-03,1976-10-08,bertil_zachrisson_minister_1973,
791,Sven Moberg,Undervisningsminister,1969-10-14,1973-11-03,sven_moberg_minister_1969,
792,Lena Hjelm-Wallén,Skolminister,1974-01-04,1976-10-08,lena_hjelm-wallén_minister_1974,
793,Ingemund Bengtsson,Jordbruksminister,1969-10-14,1973-11-03,ingemund_bengtsson_minister_1969,
794,Svante Lundkvist,Jordbruksminister,1973-11-03,1976-10-08,svante_lundkvist_minister_1973,
795,Gunnar Lange,Handelsminister,1969-10-14,1970-10-09,gunnar_lange_minister_1969,
796,Kjell-Olof Feldt,Handelsminister,1970-10-03,1975-11-01,kjell-olof_feldt_minister_1970,
797,Carl Lidbom,Handelsminister,1975-11-01,1976-10-08,carl_lidbom_minister_1975,
798,Kjell-Olof Feldt,Minister för nordiskt samarbete,1970-10-03,1975-11-01,kjell-olof_feldt_minister_1970,
799,Eric Holmqvist,Inrikesminister,1969-10-14,1973-11-03,eric_holmqvist_minister_1969,
800,Ingemund Bengtsson,Inrikesminister,1973-11-03,1973-12-31,ingemund_bengtsson_minister_1973,
801,Ingemund Bengtsson,Arbetsmarknadsminister,1974-01-01,1976-10-08,ingemund_bengtsson_minister_1974,
802,Anna-Greta Leijon,Invandrar- och jämställdhetsminister,1973-11-03,1976-10-08,anna-greta_leijon_minister_1973,
803,Ingvar Carlsson,Bostadsminister,1973-11-03,1976-10-08,ingvar_carlsson_minister_1973,
804,Svante Lundkvist,Civilminister,1969-10-14,1973-11-03,svante_lundkvist_minister_1969,
805,Hans Gustafsson,Civilminister,1973-11-03,1973-12-31,hans_gustafsson_minister_1973,
806,Hans Gustafsson,Kommunminister,1974-01-01,1976-10-08,hans_gustafsson_minister_1974,
807,Hans Gustafsson,Kyrkominister,1973-11-03,1976-10-08,hans_gustafsson_minister_1973,
808,Krister Wickman,Industriminister,1969-10-14,1971-06-30,krister_wickman_minister_1969,
809,Rune B Johansson,Industriminister,1971-06-30,1976-10-08,rune_b_johansson_minister_1971,
810,Sven-Eric Nilsson,Juristkonsult,1969-10-14,1973-06-30,sven-eric_nilsson_minister_1969,
811,Carl Lidbom,Juristkonsult,1969-10-14,1974-12-31,carl_lidbom_minister_1969,
812,Stefan Löfven,Statsminister,2014-10-03,2019-01-21,stefan_löfven_minister_2014,
813,Kristina Persson,Minister för strategi och framtidsfrågor samt nordiskt samarbete,2014-10-03,2016-05-25,kristina_persson_minister_2014,
814,Ibrahim Baylan,Samordnings- och energiminister,2016-05-25,2019-01-21,ibrahim_baylan_minister_2016,
815,Morgan Johansson,Justitie- och migrationsminister,2014-10-03,2017-07-27,morgan_johansson_minister_2014,
816,Morgan Johansson,Justitie- och inrikesminister,2017-07-27,2019-01-21,morgan_johansson_minister_2017,
817,Heléne Fritzon,Migrationsminister och biträdande justitieminister,2017-07-27,2019-01-21,heléne_fritzon_minister_2017,
818,Anders Ygeman,Inrikesminister,2014-10-03,2017-07-27,anders_ygeman_minister_2014,
819,Margot Wallström,Utrikesminister,2014-10-03,2019-01-21,margot_wallström_minister_2014,
820,Isabella Lövin,Biståndsminister,2014-10-03,2016-05-25,isabella_lövin_minister_2014,
821,Isabella Lövin,Minister för internationellt utvecklingssamarbete  och klimat samt vice statsminister,2016-05-25,2019-01-21,isabella_lövin_minister_2016,
822,Ann Linde,EU- och handelsminister,2016-05-25,2019-01-21,ann_linde_minister_2016,
823,Peter Hultqvist,Försvarsminister,2014-10-03,2019-01-21,peter_hultqvist_minister_2014,
824,Annika Strandhäll,Socialförsäkringsminister,2014-10-03,2017-07-27,annika_strandhäll_minister_2014,
825,Annika Strandhäll,Socialminister,2017-07-27,2019-01-21,annika_strandhäll_minister_2017,
