name,replacer,party,district,start,end,note,chamber,id,party_abbrev,gender
Magda Rasmusson,Per Olsson,Miljöpartiet,Stockholms kommun,2015-05-18,2015-12-17,,Enkammarriksdagen,magda_rasmusson_2c2217,MP,woman
Torbjörn Björlund,Linda Snecker,Vänsterpartiet,Östergötlands län,2015-08-03,2016-01-04,,Enkammarriksdagen,torbjorn_bjorlund_d4f385,V,man
Linus Sköld,Sven-Erik Bucht,Socialdemokraterna,Norrbottens län,2015-09-01,2016-04-04,,Enkammarriksdagen,linus_skold_0e3db7,S,man
Eva Lindh,Johan Löfstrand,Socialdemokraterna,Östergötlands län,2015-09-01,2015-12-31,,Enkammarriksdagen,eva_lindh_16a691,S,woman
Göran Lindell,Annie Lööf,Centerpartiet,Jönköpings län,2015-09-11,2016-03-31,,Enkammarriksdagen,goran_lindell_154dbd,C,man
Ulrika Heindorff,Jonas Jacobsson Gjörtler,Moderaterna,Skåne läns västra,2015-09-28,2015-12-31,,Enkammarriksdagen,ulrika_heindorff_cee74e,M,woman
Börje Vestlund,Stefan Löfven,Socialdemokraterna,Stockholms kommun,2015-10-01,2017-05-28,,Enkammarriksdagen,borje_vestlund_ed81a5,S,man
Teres Lindberg,Anders Ygeman,Socialdemokraterna,Stockholms kommun,2015-10-01,2017-05-28,,Enkammarriksdagen,teres_lindberg_6c25f2,S,woman
Anders Österberg,Ylva Johansson,Socialdemokraterna,Stockholms kommun,2015-10-01,2017-05-28,,Enkammarriksdagen,anders_osterberg_d9d1b6,S,man
Ida Ekeroth,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,2015-10-12,2015-12-31,,Enkammarriksdagen,ida_ekeroth_8f0112,S,woman
Jamal Mouneimne,Katarina Köhler,Socialdemokraterna,Västerbottens län,2015-10-29,2017-09-12,,Enkammarriksdagen,jamal_mouneimne_db1e7f,S,man
John Skoglund,Peter Johnsson,Socialdemokraterna,Västra Götalands läns norra,2015-10-29,2015-12-07,,Enkammarriksdagen,john_skoglund_934a52,S,man
Anna Vikström,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2015-11-01,2016-04-30,,Enkammarriksdagen,anna_vikstrom_0dbab9,S,woman
Anders Lönnberg,Åsa Westlund,Socialdemokraterna,Stockholms län,2015-11-01,2016-04-30,,Enkammarriksdagen,anders_lonnberg_7b7ecc,S,man
Mats Pertoft,Annika Hirvonen Falk,Miljöpartiet,Stockholms län,2015-12-11,2016-08-06,,Enkammarriksdagen,mats_pertoft_84c0a5,MP,man
Magda Rasmusson,Maria Ferm,Miljöpartiet,Stockholms kommun,2015-12-18,2015-12-31,,Enkammarriksdagen,magda_rasmusson_39c3a9,MP,woman
