Namn,Namn,Parti,"Valkrets, plats"
,My Persson,Moderata samlingspartiet,"Göteborgs kommun, plats 202"
,Siw Persson,Folkpartiet liberalerna,"Malmöhus läns norra, plats 162"
,Eva Persson Sellin,Socialdemokraterna,"Norrbottens län, plats 346"
,Thage G Peterson,Socialdemokraterna,"Stockholms län, plats 28"
,Christina Pettersson,Socialdemokraterna,"Stockholms län, plats 51"
,Karin Pilsäter,Folkpartiet liberalerna,"Stockholms län, plats 34"
,Ragnhild Pohanka,Miljöpartiet de Gröna,"Kopparbergs län, plats 290"
,Marietta de Pourbaix-Lundin,Moderata samlingspartiet,"Stockholms län, plats 40"
,Chatrine Pålsson,Kristdemokraterna,"Kalmar län, plats 124"
,Ola Rask,Socialdemokraterna,"Stockholms län, plats 54"
,Fredrik Reinfeldt,Moderata samlingspartiet,"Stockholms län, plats 53"
,Sonja Rembo,Moderata samlingspartiet,"Göteborgs kommun, plats 192"
,Inger René,Moderata samlingspartiet,"Bohuslän, plats 214"
,Stig Rindborg,Moderata samlingspartiet,"Stockholms län, plats 44"
,Agneta Ringman,Socialdemokraterna,"Kalmar län, plats 129"
,Fanny Rizell,Kristdemokraterna,"Älvsborgs läns norra, plats 228"
,Lennart Rohdin,Folkpartiet liberalerna,"Gävleborgs län, plats 308"
,Per Rosengren,Vänsterpartiet,"Skaraborgs län, plats 247"
,Yvonne Ruwaida,Miljöpartiet de Gröna,"Örebro län, plats 274"
,Rune Rydén,Moderata samlingspartiet,"Malmöhus läns södra, plats 171"
,Bengt-Ola Ryttar,Socialdemokraterna,"Kopparbergs län, plats 288"
,Catarina Rönnung,Socialdemokraterna,"Jönköpings län, plats 103"
,Pär-Axel Sahlberg,Socialdemokraterna,"Hallands län, plats 190"
,Ingegerd Sahlström,Socialdemokraterna,"Hallands län, plats 184"
,Marianne Samuelsson,Miljöpartiet de Gröna,"Stockholms län, plats 48"
,Margareta Sandgren,Socialdemokraterna,"Jönköpings län, plats 112"
,Lena Sandlin-Hedman,Socialdemokraterna,"Västerbottens län, plats 338"
,Stig Sandström,Vänsterpartiet,"Älvsborgs läns norra, plats 230"
,Birger Schlaug,Miljöpartiet de Gröna,"Östergötlands län, plats 98"
,Pierre Schori,Socialdemokraterna,"Stockholms län, plats 45"
,Gudrun Schyman,Vänsterpartiet,"Stockholms län, plats 42"
,Inger Segelström,Socialdemokraterna,"Stockholms kommun, plats 2"
,Ingibjörg Sigurdsdóttir,Socialdemokraterna,"Gotlands län, plats 133"
,Bengt Silfverstrand,Socialdemokraterna,"Malmöhus läns norra, plats 160"
,Ingrid Skeppstedt,Centerpartiet,"Södermanlands län, plats 81"
,Christer Skoog,Socialdemokraterna,"Blekinge län, plats 134"
,Tuve Skånberg,Kristdemokraterna,"Kristianstads län, plats 149"
,Kenth Skårvik,Folkpartiet liberalerna,"Bohuslän, plats 210"
,Lisbeth Staaf-Igelström,Socialdemokraterna,"Värmlands län, plats 258"
,Karin Starrin,Centerpartiet,"Gävleborgs län, plats 304"
,Hans Stenberg,Socialdemokraterna,"Västernorrlands län, plats 319"
,Lars Stjernkvist,Socialdemokraterna,"Östergötlands län, plats 97"
,Michael Stjernström,Kristdemokraterna,"Stockholms kommun, plats 25"
,Ola Ström,Folkpartiet liberalerna,"Örebro län, plats 271"
,Håkan Strömberg,Socialdemokraterna,"Örebro län, plats 262"
,Ola Sundell,Moderata samlingspartiet,"Jämtlands län, plats 327"
,Britta Sundin,Socialdemokraterna,"Västernorrlands län, plats 313"
,Åke Sundqvist,Moderata samlingspartiet,"Västernorrlands län, plats 312"
,Karl-Gösta Svenson,Moderata samlingspartiet,"Blekinge län, plats 136"
,Alf Svensson,Kristdemokraterna,"Jönköpings län, plats 107"
,Nils T. Svensson,Socialdemokraterna,"Malmö kommun, plats 155"
,Sten Svensson,Moderata samlingspartiet,"Skaraborgs län, plats 239"
,Anders Svärd,Centerpartiet,"Örebro län, plats 264"
,Björn von Sydow,Socialdemokraterna,"Stockholms län, plats 60"
,Nils-Erik Söderqvist,Socialdemokraterna,"Älvsborgs läns norra, plats 232"
,Birthe Sörestedt,Socialdemokraterna,"Malmö kommun, plats 156"
,Ingela Thalén,Socialdemokraterna,"Stockholms län, plats 41"
,Görel Thurdin,Centerpartiet,"Västernorrlands län, plats 316"
,Lars Tobisson,Moderata samlingspartiet,"Stockholms län, plats 29"
,Sten Tolgfors,Moderata samlingspartiet,"Örebro län, plats 273"
,Per Unckel,Moderata samlingspartiet,"Östergötlands län, plats 89"
,Ines Uusmann,Socialdemokraterna,"Stockholms län, plats 43"
,Paavo Vallius,Socialdemokraterna,"Västmanlands län, plats 282"
,Kerstin Warnerbring,Centerpartiet,"Malmöhus läns södra, plats 179"
,Karin Wegestål,Socialdemokraterna,"Malmöhus läns södra, plats 174"
,Ulla Wester-Rudin,Socialdemokraterna,"Kristianstads län, plats 151"
,Per Westerberg,Moderata samlingspartiet,"Södermanlands län, plats 77"
,Barbro Westerholm,Folkpartiet liberalerna,"Stockholms kommun, plats 12"
,Majléne Westerlund Panke,Socialdemokraterna,"Hallands län, plats 189"
,Iréne Vestlund,Socialdemokraterna,"Kopparbergs län, plats 287"
,Anne Wibble,Folkpartiet liberalerna,"Stockholms län, plats 35"
,Birgitta Wichne,Moderata samlingspartiet,"Älvsborgs läns södra, plats 237"
,Monica Widnemark,Socialdemokraterna,"Kronobergs län, plats 117"
,Marie Wilén,Centerpartiet,"Västmanlands län, plats 285"
,Carl-Johan Wilson,Folkpartiet liberalerna,"Jönköpings län, plats 106"
,Margareta Winberg,Socialdemokraterna,"Jämtlands län, plats 323"
,Lilian Virgin,Socialdemokraterna,"Gotlands län, plats 132"
,Birgitta Wistrand,Moderata samlingspartiet,"Stockholms kommun, plats 16"
,Siw Wittgren-Ahl,Socialdemokraterna,"Göteborgs kommun, plats 199"
,Liselotte Wågö,Moderata samlingspartiet,"Hallands län, plats 186"
,Ingegerd Wärnersson,Socialdemokraterna,"Kristianstads län, plats 148"
,Anders Ygeman,Socialdemokraterna,"Stockholms kommun, plats 11"
,Kristina Zakrisson,Socialdemokraterna,"Norrbottens län, plats 348"
,Eva Zetterberg,Vänsterpartiet,"Stockholms kommun, plats 14"
,Hanna Zetterberg,Vänsterpartiet,"Göteborgs kommun, plats 207"
,Rolf Åbjörnsson,Kristdemokraterna,"Västerbottens län, plats 335"
,Anna Åkerhielm,Moderata samlingspartiet,"Malmöhus läns norra, plats 166"
,Alice Åström,Vänsterpartiet,"Jönköpings län, plats 114"
,Conny Öhman,Socialdemokraterna,"Östergötlands län, plats 100"
,Monica Öhman,Socialdemokraterna,"Norrbottens län, plats 341"
,Krister Örnfjäder,Socialdemokraterna,"Kalmar län, plats 125"
,Sven-Erik Österberg,Socialdemokraterna,"Västmanlands län, plats 284"
,Sten Östlund,Socialdemokraterna,"Göteborgs kommun, plats 194"
,Thomas Östros,Socialdemokraterna,"Uppsala län, plats 74"

