Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
Thorbjörn Fälldin,lantbrukare,,Centerpartiet,Västernorrlands län,
Martin Olsson (centerpartist),bankkamrer,,Centerpartiet,Västernorrlands län,
Rolf Sellgren,föreståndare,,Folkpartiet,Västernorrlands län,
Bo Martinsson,advokat,,Socialdemokraterna,Västernorrlands län,
Stig Olsson,ombudsman,,Socialdemokraterna,Västernorrlands län,
Otto Stadling,hemmansägare,,Socialdemokraterna,Västernorrlands län,
Ivar Högström,bostadsdirektör,,Socialdemokraterna,Västernorrlands län,
Bernhard Sundelin,åkeriägare,,Socialdemokraterna,Västernorrlands län,
Bengt Wiklund,journalist,,Socialdemokraterna,Västernorrlands län,
Rune Jonsson,elektriker,,Socialdemokraterna,Västernorrlands län,
Gustav Lorentzon,ombudsman,,Vänsterpartiet kommunisterna,Västernorrlands län,
Nils Åsling,lantbrukare,,Centerpartiet,Jämtlands län,
Per Stjernström,lantbrukare,,Centerpartiet,Jämtlands län,
Birger Nilsson,ombudsman,,Socialdemokraterna,Jämtlands län,
Valfrid Wikner,länsskogvaktmästare,,Socialdemokraterna,Jämtlands län,
Sven Lindberg,ombudsman,,Socialdemokraterna,Jämtlands län,
Tore Nilsson,predikant,,Moderata samlingspartiet,Västerbottens län,
Jan-Ivan Nilsson,lantbrukare,,Centerpartiet,Västerbottens län,
Nils-Eric Gustafsson,lantbrukare,,Centerpartiet,Västerbottens län,
Sigvard Larsson,direktör,,Folkpartiet,Västerbottens län,
Rune Ångström,direktör,,Folkpartiet,Västerbottens län,
Arne Nygren,redaktör,,Socialdemokraterna,Västerbottens län,
Roland Brännström,verkmästare,,Socialdemokraterna,Västerbottens län,
Georg Andersson,rektor,,Socialdemokraterna,Västerbottens län,
Lilly Hansson,sjukvårdare,,Socialdemokraterna,Västerbottens län,
Hagar Normark,fru,,Socialdemokraterna,Västerbottens län,
Per Petersson i Gäddvik,hemmansägare,,Moderata samlingspartiet,Norrbottens län,
Torsten Stridsman,ombudsman,,Centerpartiet,Norrbottens län,
Filip Johansson,lantbrukare,,Centerpartiet,Norrbottens län,
Bertil Öhvall,ekonomikonsulent,,Folkpartiet,Norrbottens län,
Ingvar Svanberg,rektor,,Socialdemokraterna,Norrbottens län,
Bengt Norling,statsråd,,Socialdemokraterna,Norrbottens län,
Frida Berglund,skolsköterska,,Socialdemokraterna,Norrbottens län,
Karl-Erik Häll,ombudsman,,Socialdemokraterna,Norrbottens län,
Uno Hedström,hemmansägare,,Socialdemokraterna,Norrbottens län,
Thure Dahlberg,ombudsman,,Socialdemokraterna,Norrbottens län,
Ivar Hermansson,gruvarbetare,,Vänsterpartiet kommunisterna,Norrbottens län,
Eivor Marklund,fru,,Vänsterpartiet kommunisterna,Norrbottens län,
